# step rho_core(r<5) rho_core(r<10) rho_core(r<15) total_norm
1980 0.0398656 0.253931 0.466432 0.999375
1990 0.0389783 0.251107 0.464514 0.999372
2000 0.0381516 0.248223 0.462576 0.999369
2010 0.0373883 0.245282 0.460619 0.999366
2020 0.0366896 0.242288 0.458642 0.999362
2030 0.0360552 0.239243 0.456644 0.999364
2040 0.0354835 0.236152 0.454624 0.999355
2050 0.0349711 0.233021 0.452579 0.999353
2060 0.0345137 0.229857 0.450509 0.999353
2070 0.0341056 0.226666 0.448412 0.999347
2080 0.0337407 0.223456 0.446286 0.999346
2090 0.0334125 0.220235 0.444131 0.999342
2100 0.0331148 0.217012 0.441946 0.999336
2110 0.0328414 0.213793 0.439729 0.999334
2120 0.0325875 0.210582 0.437481 0.999333
2130 0.0323489 0.207386 0.435199 0.999329
2140 0.0321228 0.204208 0.432884 0.999326
2150 0.0319076 0.201049 0.430532 0.99932
2160 0.0317029 0.197914 0.428145 0.999319
2170 0.0315089 0.194805 0.425721 0.999315
2180 0.0313264 0.191726 0.423261 0.999312
2190 0.0311563 0.188681 0.420764 0.999308
2200 0.0309992 0.185674 0.418233 0.999304
2210 0.0308552 0.182707 0.415665 0.999302
2220 0.0307236 0.179782 0.413063 0.999296
2230 0.0306031 0.176899 0.410425 0.999296
2240 0.0304917 0.174059 0.40775 0.999292
2250 0.0303873 0.171258 0.405036 0.999287
2260 0.0302877 0.168496 0.402283 0.999286
2270 0.030191 0.16577 0.399488 0.999284
2280 0.0300955 0.16308 0.39665 0.99928
2290 0.0300002 0.160424 0.393768 0.999276
2300 0.0299043 0.157801 0.390842 0.999271
2310 0.029807 0.155213 0.387872 0.99927
2320 0.0297078 0.152658 0.384857 0.999264
2330 0.0296063 0.150139 0.381799 0.999262
2340 0.0295019 0.147656 0.378697 0.999256
2350 0.0293943 0.14521 0.375555 0.999256
2360 0.0292834 0.142801 0.372373 0.999251
2370 0.0291694 0.140431 0.369151 0.999249
2380 0.0290533 0.138098 0.365893 0.999243
2390 0.0289362 0.135801 0.362597 0.999243
2400 0.0288198 0.133537 0.359264 0.999239
2410 0.0287059 0.131303 0.355894 0.999236
2420 0.0285963 0.129094 0.352488 0.99923
2430 0.0284923 0.126906 0.349047 0.999228
2440 0.028395 0.124739 0.345573 0.999225
2450 0.0283048 0.12259 0.342068 0.999221
2460 0.0282216 0.120463 0.338533 0.999221
2470 0.0281447 0.118363 0.334973 0.999215
2480 0.0280734 0.116301 0.331389 0.999211
2490 0.0280064 0.114286 0.327783 0.999209
2500 0.0279421 0.11233 0.324157 0.999207
2510 0.0278791 0.110445 0.320513 0.9992
2520 0.0278154 0.108639 0.31685 0.999199
2530 0.0277492 0.106919 0.31317 0.999194
