# x y rho R
97 2 1.96069e-05 1
98 2 1.74421e-05 1
99 2 1.57987e-05 1
100 2 1.52277e-05 1
101 2 1.65461e-05 1
102 2 2.16827e-05 1
103 2 3.21403e-05 1
104 2 4.71172e-05 1
105 2 6.75566e-05 1
106 2 9.32428e-05 1
107 2 0.000128222 1
108 2 0.000174748 1
109 2 0.000221133 1
110 2 0.000258484 1
111 2 0.000293419 1
112 2 0.000314343 1
113 2 0.000305523 1
114 2 0.000266043 1
115 2 0.000176619 1
116 2 8.21706e-05 1
117 2 3.40501e-05 1
118 2 2.94374e-05 1
119 2 4.10249e-05 1
120 2 4.82445e-05 1
121 2 7.20394e-05 1
122 2 0.000123128 1
123 2 0.000180789 1
124 2 0.000236545 1
125 2 0.000345635 1
126 2 0.00052487 1
127 2 0.00062985 1
0 3 0.000651688 1
1 3 0.000569817 1
2 3 0.000510014 1
3 3 0.000445933 1
4 3 0.000363327 1
5 3 0.000271294 1
6 3 0.000190975 1
7 3 0.000128925 1
8 3 8.46111e-05 1
9 3 5.34072e-05 1
10 3 3.14647e-05 1
11 3 1.81111e-05 1
12 3 1.06608e-05 1
13 3 7.41776e-06 1
14 3 6.40208e-06 1
15 3 6.68673e-06 1
16 3 7.57276e-06 1
17 3 8.51274e-06 1
18 3 9.55508e-06 1
19 3 1.00936e-05 1
20 3 9.86685e-06 1
21 3 9.44474e-06 1
22 3 8.36108e-06 1
23 3 5.58928e-06 1
24 3 2.65615e-06 1
25 3 1.70532e-06 1
26 3 2.19532e-06 1
27 3 2.71354e-06 1
28 3 2.53815e-06 1
29 3 1.76999e-06 1
30 3 9.97804e-07 1
31 3 5.21055e-07 1
32 3 2.88608e-07 1
33 3 1.53581e-07 1
34 3 1.31438e-07 1
35 3 3.33113e-07 1
36 3 7.06558e-07 1
37 3 1.05783e-06 1
38 3 1.2868e-06 1
39 3 1.44119e-06 1
40 3 1.57247e-06 1
41 3 1.69787e-06 1
42 3 1.88261e-06 1
43 3 2.11399e-06 1
44 3 2.33638e-06 1
45 3 2.56039e-06 1
46 3 2.86377e-06 1
47 3 3.24531e-06 1
48 3 3.59417e-06 1
49 3 3.79565e-06 1
50 3 3.85432e-06 1
51 3 3.86732e-06 1
52 3 3.91849e-06 1
53 3 4.01109e-06 1
54 3 4.11474e-06 1
55 3 4.22428e-06 1
56 3 4.38111e-06 1
57 3 4.63949e-06 1
58 3 5.03114e-06 1
59 3 5.5611e-06 1
60 3 6.20755e-06 1
61 3 6.93262e-06 1
62 3 7.69833e-06 1
63 3 8.46986e-06 1
64 3 9.21984e-06 1
65 3 9.92967e-06 1
66 3 1.05823e-05 1
67 3 1.1173e-05 1
68 3 1.16894e-05 1
69 3 1.21268e-05 1
70 3 1.24663e-05 1
71 3 1.27003e-05 1
72 3 1.28215e-05 1
73 3 1.28257e-05 1
74 3 1.27117e-05 1
75 3 1.24666e-05 1
76 3 1.20891e-05 1
77 3 1.15947e-05 1
78 3 1.10346e-05 1
79 3 1.04998e-05 1
80 3 1.01093e-05 1
81 3 1.00072e-05 1
82 3 1.03342e-05 1
83 3 1.12488e-05 1
84 3 1.28585e-05 1
85 3 1.51368e-05 1
86 3 1.78745e-05 1
87 3 2.07425e-05 1
88 3 2.33849e-05 1
89 3 2.55382e-05 1
90 3 2.72787e-05 1
91 3 2.92365e-05 1
92 3 3.22443e-05 1
93 3 3.61215e-05 1
94 3 3.9213e-05 1
95 3 3.94571e-05 1
96 3 3.59115e-05 1
97 3 2.99721e-05 1
98 3 2.48378e-05 1
99 3 2.23289e-05 1
100 3 2.23894e-05 1
101 3 2.52837e-05 1
102 3 3.08313e-05 1
103 3 3.90154e-05 1
104 3 5.37044e-05 1
105 3 7.89348e-05 1
106 3 0.000117019 1
107 3 0.000163287 1
108 3 0.00020694 1
109 3 0.000241945 1
110 3 0.000266403 1
111 3 0.000277279 1
112 3 0.000271332 1
113 3 0.000253022 1
114 3 0.000214156 1
115 3 0.000159582 1
116 3 9.36686e-05 1
117 3 5.48599e-05 1
118 3 4.47507e-05 1
119 3 3.66535e-05 1
120 3 3.7112e-05 1
121 3 5.8921e-05 1
122 3 0.000102035 1
123 3 0.000159604 1
124 3 0.000228507 1
125 3 0.000319939 1
