# R rho
1 9.53831e-06
1 9.29273e-06
1 7.92547e-06
1 5.22803e-06
1 3.02992e-06
1 2.24308e-06
1 2.25305e-06
1 2.14373e-06
1 1.57263e-06
1 1.07822e-06
1 1.02735e-06
1 1.13233e-06
1 1.26216e-06
1 1.43335e-06
1 1.6209e-06
1 1.80741e-06
1 2.01837e-06
1 2.28297e-06
1 2.5773e-06
1 2.86444e-06
1 3.13884e-06
1 3.43885e-06
1 3.78191e-06
1 4.14127e-06
1 4.45959e-06
1 4.70428e-06
1 4.87051e-06
1 4.98635e-06
1 5.07258e-06
1 5.15525e-06
1 5.23813e-06
1 5.32855e-06
1 5.41879e-06
1 5.51724e-06
1 5.61969e-06
1 5.73464e-06
1 5.85702e-06
1 5.99662e-06
1 6.14487e-06
1 6.3113e-06
1 6.48223e-06
1 6.66916e-06
1 6.86169e-06
1 7.07888e-06
1 7.30933e-06
1 7.56821e-06
1 7.85374e-06
1 8.19094e-06
1 8.57772e-06
1 9.049e-06
1 9.6126e-06
1 1.03288e-05
1 1.12712e-05
1 1.25719e-05
1 1.43174e-05
1 1.64745e-05
1 1.88543e-05
1 2.11368e-05
1 2.29794e-05
1 2.40265e-05
1 2.39674e-05
1 2.26682e-05
1 2.05536e-05
1 1.85865e-05
1 1.83591e-05
1 2.14589e-05
1 2.79218e-05
1 3.49569e-05
1 3.87367e-05
1 3.79427e-05
1 3.55732e-05
1 3.56141e-05
1 4.01012e-05
1 5.28243e-05
1 7.80976e-05
1 0.000113294
1 0.000148476
1 0.000173269
1 0.000178514
1 0.00017069
1 0.000159061
1 0.000141384
1 0.000119116
1 9.41433e-05
1 7.5618e-05
1 8.66725e-05
1 0.000137661
1 0.000184732
1 0.000178151
1 0.00013021
1 8.57374e-05
1 7.40479e-05
1 9.41416e-05
1 0.000135322
1 0.000199822
1 0.000282637
1 0.000351276
1 0.000430058
1 0.000381448
1 0.000445403
1 0.000419919
1 0.000333861
1 0.000283547
1 0.000253884
1 0.000217905
1 0.000171198
1 0.000125456
1 8.95264e-05
1 5.98667e-05
1 3.95425e-05
1 2.66103e-05
1 1.78942e-05
1 1.17895e-05
1 8.01437e-06
1 6.84014e-06
1 7.09593e-06
1 8.12979e-06
1 9.35597e-06
1 9.91566e-06
1 1.00128e-05
1 1.02748e-05
1 1.05377e-05
1 1.02556e-05
1 1.01991e-05
1 1.01242e-05
1 8.51785e-06
1 5.62587e-06
1 3.32711e-06
1 2.27069e-06
1 1.98309e-06
1 1.89657e-06
1 1.64327e-06
1 1.28296e-06
1 1.07892e-06
1 1.29084e-06
1 1.49993e-06
1 1.70184e-06
1 1.89475e-06
1 2.06482e-06
1 2.18386e-06
1 2.26835e-06
1 2.35608e-06
1 2.48282e-06
1 2.66314e-06
1 2.88774e-06
1 3.15332e-06
1 3.45359e-06
1 3.78349e-06
1 4.11548e-06
1 4.42888e-06
1 4.69669e-06
