# Field snapshot at t = 70 seconds
# Grid: 64 x 64
# Columns: x  y  theta  R  mass  |psi|^2  psi_0_real  psi_0_imag  psi_1_real  psi_1_imag  psi_2_real  psi_2_imag  psi_3_real  psi_3_imag
6  2  -0.035821  0.999260  2.498149  0.000158  -0.002425  0.002308  0.004738  -0.008179  -0.003253  0.005022  -0.001761  0.004340
7  2  -0.001636  0.998786  2.496965  0.000220  0.008932  -0.006899  -0.005391  -0.006946  -0.001645  0.001661  -0.000084  -0.003151
8  2  0.007724  0.998502  2.496254  0.000217  -0.000799  0.005070  0.002562  -0.000906  -0.010957  0.006429  0.002175  0.004188
9  2  0.066465  0.998315  2.495788  0.000270  0.001413  0.002224  -0.011762  0.007004  0.006805  0.003262  -0.001982  -0.003869
10  2  0.021852  0.998762  2.496906  0.000228  0.002086  0.006037  0.012460  -0.004456  0.003233  0.000501  0.001080  0.000094
11  2  0.043572  0.999231  2.498076  0.000247  -0.003476  0.001160  -0.004511  0.000198  -0.003333  0.003474  -0.001168  -0.013733
12  2  0.067271  0.999749  2.499373  0.000166  -0.003095  0.005387  -0.002760  -0.005602  -0.005057  0.003304  -0.006269  0.003520
13  2  0.044776  0.999546  2.498866  0.000163  -0.001747  -0.000714  0.003262  0.004595  0.009124  -0.003741  -0.001127  -0.005419
14  2  0.064005  0.999535  2.498837  0.000128  -0.000475  0.004554  -0.004874  0.002876  -0.000242  0.000330  0.008603  0.000819
15  2  0.004836  0.999247  2.498118  0.000378  0.008866  0.002402  0.005737  -0.002014  0.004316  -0.000496  -0.010245  0.011530
16  2  -0.015866  0.998837  2.497093  0.000245  0.003153  0.009724  0.001611  -0.009757  0.001360  -0.002046  -0.005994  -0.000903
17  2  -0.099814  0.998633  2.496583  0.000131  -0.004345  0.005807  -0.005087  -0.000943  0.002070  -0.004895  0.004349  0.002208
18  2  -0.069791  0.999041  2.497602  0.000443  -0.005609  -0.005693  -0.008776  0.010464  0.006117  0.007119  0.001394  0.010119
19  2  -0.033853  0.999549  2.498873  0.000377  0.002914  -0.004848  0.005340  -0.009306  0.008826  -0.005640  -0.005754  -0.009337
20  2  -0.015126  0.999690  2.499224  0.000102  -0.002503  -0.000776  -0.004401  0.004450  0.003882  -0.001287  0.005579  -0.002914
21  2  0.008719  0.999466  2.498664  0.000199  -0.006288  0.006050  0.005733  0.008921  0.000376  -0.000739  0.002512  -0.001823
22  2  -0.011954  0.999543  2.498858  0.000172  -0.000523  -0.008557  -0.005550  0.000734  0.005302  -0.000429  0.006187  0.000856
23  2  0.031288  0.999584  2.498960  0.000256  0.014463  -0.000360  -0.002658  -0.000145  -0.004519  0.000752  -0.000119  0.004272
24  2  0.054824  0.999685  2.499213  0.000122  -0.000236  0.001860  0.004726  -0.005842  0.000925  -0.003761  0.001566  -0.006671
25  2  0.028694  0.999748  2.499370  0.000141  0.003047  -0.007500  -0.000377  -0.002321  0.004497  -0.003024  0.005087  -0.003831
26  2  0.008984  0.999499  2.498748  0.000199  -0.001749  0.000720  -0.002115  -0.005840  -0.000447  -0.010924  -0.006005  0.000953
27  2  -0.004370  0.999488  2.498720  0.000183  0.002250  0.001544  0.000517  0.000958  -0.011570  -0.001624  0.001260  -0.006039
28  2  -0.034813  0.999323  2.498307  0.000294  -0.009716  0.004456  0.001159  0.001071  -0.012696  0.001296  -0.003445  -0.001495
29  2  0.026403  0.999666  2.499166  0.000414  0.012095  0.003747  0.003189  0.003942  -0.004003  0.010349  -0.001232  -0.010179
30  2  -0.007929  0.998842  2.497105  0.000154  -0.002802  -0.007518  -0.004555  0.001619  0.006158  -0.002756  -0.002957  0.003528
31  2  -0.087894  0.998688  2.496719  0.000266  -0.001829  0.000879  -0.008457  0.008594  0.004431  0.005089  0.001689  -0.008278
32  2  -0.010994  0.998429  2.496074  0.000226  0.007072  0.002257  -0.000816  -0.002361  -0.005398  0.008671  -0.001662  -0.007570
33  2  0.001938  0.999236  2.498090  0.000134  0.003355  0.004010  -0.003367  -0.003023  -0.003876  -0.004561  -0.003835  -0.006005
34  2  -0.020560  0.999456  2.498639  0.000153  -0.005807  0.001464  -0.005997  0.008237  -0.000761  -0.001484  0.002357  0.002134
35  2  -0.055574  0.999710  2.499275  0.000183  -0.001895  -0.003210  -0.004455  -0.001593  -0.006035  -0.004710  -0.009374  0.000062
