x,y,R
45,7,0.999582
46,7,0.999597
47,7,0.999611
48,7,0.999624
49,7,0.999635
50,7,0.999645
51,7,0.999659
52,7,0.999679
53,7,0.999695
54,7,0.999703
55,7,0.999706
56,7,0.999714
57,7,0.999729
58,7,0.999743
59,7,0.999754
60,7,0.999764
61,7,0.999774
62,7,0.999782
63,7,0.676616
0,8,0.663797
1,8,0.999783
2,8,0.999773
3,8,0.999764
4,8,0.999755
5,8,0.999744
6,8,0.999733
7,8,0.999722
8,8,0.999711
9,8,0.999701
10,8,0.999689
11,8,0.999675
12,8,0.99966
13,8,0.999645
14,8,0.99963
15,8,0.999615
16,8,0.999602
17,8,0.999588
18,8,0.99957
19,8,0.999551
20,8,0.999536
21,8,0.999519
22,8,0.999502
23,8,0.999489
24,8,0.999475
25,8,0.999463
26,8,0.999453
27,8,0.999443
28,8,0.999435
29,8,0.999428
30,8,0.999422
31,8,0.999417
32,8,0.999417
33,8,0.999422
34,8,0.999427
35,8,0.999433
36,8,0.999439
37,8,0.999445
38,8,0.99945
39,8,0.999459
40,8,0.999471
41,8,0.999486
42,8,0.999504
43,8,0.999523
44,8,0.999541
45,8,0.999558
46,8,0.999574
47,8,0.999589
48,8,0.999603
49,8,0.999613
50,8,0.999623
51,8,0.999641
52,8,0.999663
53,8,0.999679
54,8,0.999687
55,8,0.999693
56,8,0.999704
57,8,0.999721
58,8,0.999735
59,8,0.999746
60,8,0.999755
61,8,0.999766
62,8,0.999775
63,8,0.663852
0,9,0.650507
1,9,0.999776
2,9,0.999766
3,9,0.999756
4,9,0.999747
5,9,0.999735
6,9,0.999722
7,9,0.999709
8,9,0.999696
9,9,0.999684
10,9,0.999671
11,9,0.999657
12,9,0.999642
13,9,0.999626
14,9,0.999609
15,9,0.999593
16,9,0.999578
17,9,0.999562
18,9,0.999542
19,9,0.999522
20,9,0.999505
21,9,0.999484
22,9,0.999464
23,9,0.999449
24,9,0.999433
25,9,0.99942
26,9,0.999407
27,9,0.999396
28,9,0.999387
29,9,0.999379
30,9,0.999371
31,9,0.999366
32,9,0.999366
33,9,0.999371
34,9,0.999377
35,9,0.999382
36,9,0.999388
37,9,0.999393
38,9,0.9994
39,9,0.999414
40,9,0.999431
41,9,0.999451
42,9,0.999471
43,9,0.999491
44,9,0.999511
45,9,0.99953
46,9,0.999548
47,9,0.999565
48,9,0.999578
49,9,0.999588
50,9,0.999601
51,9,0.999622
52,9,0.999647
53,9,0.999663
54,9,0.999672
55,9,0.99968
56,9,0.999695
57,9,0.999712
58,9,0.999726
59,9,0.999736
60,9,0.999747
61,9,0.999758
62,9,0.999768
63,9,0.650567
0,10,0.636694
1,10,0.999769
2,10,0.999758
3,10,0.999747
4,10,0.999737
5,10,0.999725
6,10,0.999712
7,10,0.999698
8,10,0.999684
9,10,0.99967
10,10,0.999654
11,10,0.999639
12,10,0.999623
13,10,0.999607
14,10,0.999588
15,10,0.99957
16,10,0.999552
17,10,0.999533
18,10,0.999512
19,10,0.99949
20,10,0.99947
21,10,0.999447
22,10,0.999424
23,10,0.999404
24,10,0.999387
25,10,0.99937
26,10,0.999355
27,10,0.999342
28,10,0.999331
29,10,0.999322
30,10,0.999313
31,10,0.999308
32,10,0.999308
33,10,0.999313
34,10,0.999318
35,10,0.999322
36,10,0.999327
37,10,0.999334
38,10,0.999347
39,10,0.999367
40,10,0.999389
41,10,0.999411
42,10,0.999434
43,10,0.999456
44,10,0.999478
45,10,0.999499
46,10,0.999519
47,10,0.999536
48,10,0.999549
49,10,0.99956
50,10,0.999578
