x,y,R
55,3,0.999912
56,3,0.999912
57,3,0.999912
58,3,0.999911
59,3,0.999911
60,3,0.999911
61,3,0.999911
62,3,0.99991
63,3,0.99991
64,3,0.99991
65,3,0.99991
66,3,0.99991
67,3,0.999911
68,3,0.999911
69,3,0.999911
70,3,0.999911
71,3,0.999912
72,3,0.999912
73,3,0.999912
74,3,0.999913
75,3,0.999913
76,3,0.999914
77,3,0.999914
78,3,0.999915
79,3,0.999915
80,3,0.999916
81,3,0.999917
82,3,0.999918
83,3,0.999918
84,3,0.999919
85,3,0.99992
86,3,0.999921
87,3,0.999922
88,3,0.999922
89,3,0.999923
90,3,0.999924
91,3,0.999925
92,3,0.999926
93,3,0.999927
94,3,0.999928
95,3,0.999929
96,3,0.99993
97,3,0.999931
98,3,0.999932
99,3,0.999933
100,3,0.999933
101,3,0.999934
102,3,0.999935
103,3,0.999936
104,3,0.999937
105,3,0.999938
106,3,0.999939
107,3,0.99994
108,3,0.999941
109,3,0.999942
110,3,0.999943
111,3,0.999944
112,3,0.999945
113,3,0.999946
114,3,0.999946
115,3,0.999947
116,3,0.999948
117,3,0.999949
118,3,0.99995
119,3,0.999951
120,3,0.999951
121,3,0.999952
122,3,0.999953
123,3,0.999954
124,3,0.999954
125,3,0.999955
126,3,0.999956
127,3,0.734462
0,4,0.729434
1,4,0.999956
2,4,0.999955
3,4,0.999954
4,4,0.999954
5,4,0.999953
6,4,0.999952
7,4,0.999951
8,4,0.99995
9,4,0.99995
10,4,0.999949
11,4,0.999948
12,4,0.999947
13,4,0.999946
14,4,0.999945
15,4,0.999944
16,4,0.999943
17,4,0.999943
18,4,0.999942
19,4,0.999941
20,4,0.99994
21,4,0.999939
22,4,0.999938
23,4,0.999937
24,4,0.999936
25,4,0.999935
26,4,0.999934
27,4,0.999933
28,4,0.999932
29,4,0.999931
30,4,0.99993
31,4,0.999929
32,4,0.999928
33,4,0.999927
34,4,0.999926
35,4,0.999925
36,4,0.999924
37,4,0.999923
38,4,0.999922
39,4,0.999921
40,4,0.99992
41,4,0.999919
42,4,0.999918
43,4,0.999917
44,4,0.999917
45,4,0.999916
46,4,0.999915
47,4,0.999914
48,4,0.999914
49,4,0.999913
50,4,0.999912
51,4,0.999911
52,4,0.999911
