# Test Particle Trajectory
# charge = -1, mass = 1
# t,x,y,vx,vy,E_x,E_y,B_z,F_x,F_y,KE
0.052000,59.999986,50.005200,-0.000551,0.099999,0.000598,0.000000,0.100000,-0.010598,-0.000055,0.005000
0.052500,59.999985,50.005250,-0.000556,0.099999,0.000598,0.000000,0.100000,-0.010598,-0.000056,0.005000
0.053000,59.999985,50.005300,-0.000562,0.099999,0.000598,0.000000,0.100000,-0.010598,-0.000056,0.005000
0.053500,59.999985,50.005350,-0.000567,0.099998,0.000598,0.000000,0.100000,-0.010598,-0.000057,0.005000
0.054000,59.999985,50.005400,-0.000572,0.099998,0.000598,0.000000,0.100000,-0.010598,-0.000057,0.005000
0.054500,59.999984,50.005450,-0.000578,0.099998,0.000598,0.000000,0.100000,-0.010598,-0.000058,0.005000
0.055000,59.999984,50.005500,-0.000583,0.099998,0.000598,0.000000,0.100000,-0.010598,-0.000058,0.005000
0.055500,59.999984,50.005550,-0.000588,0.099998,0.000598,0.000000,0.100000,-0.010598,-0.000059,0.005000
0.056000,59.999983,50.005600,-0.000594,0.099998,0.000598,0.000000,0.100000,-0.010598,-0.000059,0.005000
0.056500,59.999983,50.005650,-0.000599,0.099998,0.000598,0.000000,0.100000,-0.010598,-0.000060,0.005000
0.057000,59.999983,50.005700,-0.000604,0.099998,0.000598,0.000000,0.100000,-0.010598,-0.000060,0.005000
0.057500,59.999982,50.005750,-0.000609,0.099998,0.000598,0.000000,0.100000,-0.010598,-0.000061,0.005000
0.058000,59.999982,50.005800,-0.000615,0.099998,0.000598,0.000000,0.100000,-0.010598,-0.000061,0.005000
0.058500,59.999982,50.005850,-0.000620,0.099998,0.000598,0.000000,0.100000,-0.010598,-0.000062,0.005000
0.059000,59.999982,50.005900,-0.000625,0.099998,0.000598,0.000000,0.100000,-0.010598,-0.000063,0.005000
0.059500,59.999981,50.005950,-0.000631,0.099998,0.000598,0.000000,0.100000,-0.010598,-0.000063,0.005000
0.060000,59.999981,50.006000,-0.000636,0.099998,0.000598,0.000000,0.100000,-0.010598,-0.000064,0.005000
0.060500,59.999981,50.006050,-0.000641,0.099998,0.000598,0.000000,0.100000,-0.010597,-0.000064,0.005000
0.061000,59.999980,50.006100,-0.000647,0.099998,0.000598,0.000000,0.100000,-0.010597,-0.000065,0.005000
0.061500,59.999980,50.006150,-0.000652,0.099998,0.000598,0.000000,0.100000,-0.010597,-0.000065,0.005000
0.062000,59.999980,50.006200,-0.000657,0.099998,0.000598,0.000000,0.100000,-0.010597,-0.000066,0.005000
0.062500,59.999979,50.006250,-0.000662,0.099998,0.000598,0.000000,0.100000,-0.010597,-0.000066,0.005000
0.063000,59.999979,50.006300,-0.000668,0.099998,0.000598,0.000000,0.100000,-0.010597,-0.000067,0.005000
0.063500,59.999979,50.006350,-0.000673,0.099998,0.000598,0.000000,0.100000,-0.010597,-0.000067,0.005000
0.064000,59.999978,50.006400,-0.000678,0.099998,0.000598,0.000000,0.100000,-0.010597,-0.000068,0.005000
0.064500,59.999978,50.006450,-0.000684,0.099998,0.000598,0.000000,0.100000,-0.010597,-0.000068,0.005000
0.065000,59.999978,50.006500,-0.000689,0.099998,0.000598,0.000000,0.100000,-0.010597,-0.000069,0.005000
0.065500,59.999977,50.006550,-0.000694,0.099998,0.000597,0.000000,0.100000,-0.010597,-0.000069,0.005000
0.066000,59.999977,50.006600,-0.000700,0.099998,0.000597,0.000000,0.100000,-0.010597,-0.000070,0.005000
0.066500,59.999977,50.006650,-0.000705,0.099998,0.000597,0.000000,0.100000,-0.010597,-0.000070,0.005000
0.067000,59.999976,50.006700,-0.000710,0.099998,0.000597,0.000000,0.100000,-0.010597,-0.000071,0.005000
0.067500,59.999976,50.006750,-0.000715,0.099998,0.000597,0.000000,0.100000,-0.010597,-0.000072,0.005000
0.068000,59.999975,50.006800,-0.000721,0.099998,0.000597,0.000000,0.100000,-0.010597,-0.000072,0.005000
0.068500,59.999975,50.006850,-0.000726,0.099998,0.000597,0.000000,0.100000,-0.010597,-0.000073,0.005000
0.069000,59.999975,50.006900,-0.000731,0.099997,0.000597,0.000000,0.100000,-0.010597,-0.000073,0.005000
0.069500,59.999974,50.006950,-0.000737,0.099997,0.000597,0.000000,0.100000,-0.010597,-0.000074,0.005000
0.070000,59.999974,50.007000,-0.000742,0.099997,0.000597,0.000000,0.100000,-0.010597,-0.000074,0.005000
0.070500,59.999974,50.007050,-0.000747,0.099997,0.000597,0.000000,0.100000,-0.010597,-0.000075,0.005000
0.071000,59.999973,50.007100,-0.000752,0.099997,0.000597,0.000000,0.100000,-0.010597,-0.000075,0.005000
0.071500,59.999973,50.007150,-0.000758,0.099997,0.000597,0.000000,0.100000,-0.010597,-0.000076,0.005000
0.072000,59.999973,50.007200,-0.000763,0.099997,0.000597,0.000000,0.100000,-0.010597,-0.000076,0.005000
0.072500,59.999972,50.007250,-0.000768,0.099997,0.000597,0.000000,0.100000,-0.010597,-0.000077,0.005000
0.073000,59.999972,50.007300,-0.000774,0.099997,0.000597,0.000000,0.100000,-0.010597,-0.000077,0.005000
0.073500,59.999971,50.007350,-0.000779,0.099997,0.000597,0.000000,0.100000,-0.010597,-0.000078,0.005000
0.074000,59.999971,50.007400,-0.000784,0.099997,0.000597,0.000000,0.100000,-0.010597,-0.000078,0.005000
0.074500,59.999971,50.007450,-0.000790,0.099997,0.000597,0.000000,0.100000,-0.010597,-0.000079,0.005000
0.075000,59.999970,50.007500,-0.000795,0.099997,0.000597,0.000000,0.100000,-0.010597,-0.000079,0.005000
0.075500,59.999970,50.007550,-0.000800,0.099997,0.000597,0.000000,0.100000,-0.010597,-0.000080,0.005000
0.076000,59.999969,50.007600,-0.000805,0.099997,0.000597,0.000000,0.100000,-0.010597,-0.000081,0.005000
0.076500,59.999969,50.007650,-0.000811,0.099997,0.000597,0.000000,0.100000,-0.010597,-0.000081,0.005000
0.077000,59.999969,50.007700,-0.000816,0.099997,0.000597,0.000000,0.100000,-0.010597,-0.000082,0.005000
0.077500,59.999968,50.007750,-0.000821,0.099997,0.000597,0.000000,0.100000,-0.010597,-0.000082,0.005000
0.078000,59.999968,50.007800,-0.000827,0.099997,0.000597,0.000000,0.100000,-0.010597,-0.000083,0.005000
0.078500,59.999967,50.007850,-0.000832,0.099997,0.000597,0.000000,0.100000,-0.010597,-0.000083,0.005000
0.079000,59.999967,50.007900,-0.000837,0.099997,0.000597,0.000000,0.100000,-0.010597,-0.000084,0.005000
0.079500,59.999967,50.007950,-0.000843,0.099997,0.000597,0.000000,0.100000,-0.010597,-0.000084,0.005000
0.080000,59.999966,50.008000,-0.000848,0.099997,0.000597,0.000000,0.100000,-0.010597,-0.000085,0.005000
0.080500,59.999966,50.008050,-0.000853,0.099997,0.000597,0.000000,0.100000,-0.010597,-0.000085,0.005000
0.081000,59.999965,50.008100,-0.000858,0.099997,0.000597,0.000000,0.100000,-0.010597,-0.000086,0.005000
0.081500,59.999965,50.008150,-0.000864,0.099996,0.000597,0.000000,0.100000,-0.010597,-0.000086,0.005000
0.082000,59.999964,50.008200,-0.000869,0.099996,0.000597,0.000000,0.100000,-0.010597,-0.000087,0.005000
0.082500,59.999964,50.008250,-0.000874,0.099996,0.000597,0.000000,0.100000,-0.010596,-0.000087,0.005000
0.083000,59.999963,50.008300,-0.000880,0.099996,0.000597,0.000000,0.100000,-0.010596,-0.000088,0.005000
0.083500,59.999963,50.008350,-0.000885,0.099996,0.000597,0.000000,0.100000,-0.010596,-0.000088,0.005000
0.084000,59.999963,50.008400,-0.000890,0.099996,0.000597,0.000000,0.100000,-0.010596,-0.000089,0.005000
0.084500,59.999962,50.008450,-0.000896,0.099996,0.000597,0.000000,0.100000,-0.010596,-0.000090,0.005000
0.085000,59.999962,50.008500,-0.000901,0.099996,0.000597,0.000000,0.100000,-0.010596,-0.000090,0.005000
0.085500,59.999961,50.008550,-0.000906,0.099996,0.000597,0.000000,0.100000,-0.010596,-0.000091,0.005000
0.086000,59.999961,50.008600,-0.000911,0.099996,0.000597,0.000000,0.100000,-0.010596,-0.000091,0.005000
0.086500,59.999960,50.008650,-0.000917,0.099996,0.000597,0.000000,0.100000,-0.010596,-0.000092,0.005000
0.087000,59.999960,50.008700,-0.000922,0.099996,0.000597,0.000000,0.100000,-0.010596,-0.000092,0.005000
0.087500,59.999959,50.008750,-0.000927,0.099996,0.000597,0.000000,0.100000,-0.010596,-0.000093,0.005000
0.088000,59.999959,50.008800,-0.000933,0.099996,0.000597,0.000000,0.100000,-0.010596,-0.000093,0.005000
0.088500,59.999958,50.008850,-0.000938,0.099996,0.000597,0.000000,0.100000,-0.010596,-0.000094,0.005000
0.089000,59.999958,50.008900,-0.000943,0.099996,0.000597,0.000000,0.100000,-0.010596,-0.000094,0.005000
0.089500,59.999958,50.008950,-0.000949,0.099996,0.000597,0.000000,0.100000,-0.010596,-0.000095,0.005000
0.090000,59.999957,50.009000,-0.000954,0.099996,0.000597,0.000000,0.100000,-0.010596,-0.000095,0.005000
0.090500,59.999957,50.009050,-0.000959,0.099996,0.000597,0.000000,0.100000,-0.010596,-0.000096,0.005000
0.091000,59.999956,50.009100,-0.000964,0.099996,0.000597,0.000000,0.100000,-0.010596,-0.000096,0.005000
0.091500,59.999956,50.009150,-0.000970,0.099996,0.000597,0.000000,0.100000,-0.010596,-0.000097,0.005000
0.092000,59.999955,50.009200,-0.000975,0.099996,0.000596,0.000000,0.100000,-0.010596,-0.000098,0.005000
0.092500,59.999955,50.009250,-0.000980,0.099995,0.000596,0.000000,0.100000,-0.010596,-0.000098,0.005000
0.093000,59.999954,50.009300,-0.000986,0.099995,0.000596,0.000000,0.100000,-0.010596,-0.000099,0.005000
0.093500,59.999954,50.009350,-0.000991,0.099995,0.000596,0.000000,0.100000,-0.010596,-0.000099,0.005000
0.094000,59.999953,50.009400,-0.000996,0.099995,0.000596,0.000000,0.100000,-0.010596,-0.000100,0.005000
0.094500,59.999953,50.009450,-0.001002,0.099995,0.000596,0.000000,0.100000,-0.010596,-0.000100,0.005000
0.095000,59.999952,50.009500,-0.001007,0.099995,0.000596,0.000000,0.100000,-0.010596,-0.000101,0.005000
0.095500,59.999952,50.009550,-0.001012,0.099995,0.000596,0.000000,0.100000,-0.010596,-0.000101,0.005000
0.096000,59.999951,50.009600,-0.001017,0.099995,0.000596,0.000000,0.100000,-0.010596,-0.000102,0.005000
0.096500,59.999951,50.009650,-0.001023,0.099995,0.000596,0.000000,0.100000,-0.010596,-0.000102,0.005000
0.097000,59.999950,50.009700,-0.001028,0.099995,0.000596,0.000000,0.100000,-0.010596,-0.000103,0.005000
0.097500,59.999950,50.009750,-0.001033,0.099995,0.000596,0.000000,0.100000,-0.010596,-0.000103,0.005000
0.098000,59.999949,50.009800,-0.001039,0.099995,0.000596,0.000000,0.100000,-0.010596,-0.000104,0.005000
0.098500,59.999949,50.009850,-0.001044,0.099995,0.000596,0.000000,0.100000,-0.010596,-0.000104,0.005000
0.099000,59.999948,50.009900,-0.001049,0.099995,0.000596,0.000000,0.100000,-0.010596,-0.000105,0.005000
0.099500,59.999948,50.009950,-0.001054,0.099995,0.000596,0.000000,0.100000,-0.010596,-0.000105,0.005000
0.100000,59.999947,50.010000,-0.001060,0.099995,0.000596,0.000000,0.100000,-0.010596,-0.000106,0.005000
