# step x_com y_com R_at_com distance_to_defect
20900 79.5547 62.5854 0.996359 15.6189
21000 78.4323 62.5984 0.326964 14.5001
21100 76.6189 62.6707 0.976398 12.6888
21200 74.5933 62.8087 0.976661 10.6601
21300 72.4739 62.9696 0.977791 8.53633
21400 70.0957 63.0763 0.979084 6.16525
21500 67.6272 63.1886 0.985813 3.71684
21600 65.4004 63.2579 0.986687 1.58489
21700 63.5657 63.3138 0.983513 0.812076
21800 61.9196 63.3778 0.981575 2.1714
21900 60.6389 63.4511 0.979885 3.40559
22000 59.6705 63.4726 0.970647 4.36154
22100 58.869 63.5072 0.976566 5.1546
22200 57.9685 63.5698 0.983337 6.04681
22300 56.834 63.6033 0.988667 7.17698
22400 55.5809 63.556 0.993013 8.43079
22500 54.4266 63.481 0.998632 9.58746
22600 53.4265 63.4934 0.997476 10.5856
22700 52.5717 63.5309 0.998179 11.4379
22800 51.9266 63.4542 0.993088 12.0857
22900 51.5577 63.2737 0.992186 12.4635
23000 51.3845 63.2127 0.997019 12.64
23100 51.3188 63.2489 0.99131 12.7034
23200 51.3364 63.3181 0.978427 12.682
23300 51.4596 63.3721 0.986034 12.5561
23400 51.6647 63.4033 0.994221 12.3497
23500 51.9273 63.4139 0.995677 12.0869
23600 52.268 63.4156 0.994304 11.7465
23700 52.5801 63.4672 0.996719 11.4323
23800 52.8598 63.5063 0.997665 11.1512
23900 53.0825 63.4944 0.997448 10.9292
24000 53.251 63.5 0.997327 10.7606
24100 53.3228 63.577 0.997546 10.6855
24200 53.3737 63.6203 0.997526 10.6331
24300 53.4431 63.6416 0.997961 10.563
24400 53.5423 63.724 0.999157 10.4614
24500 53.6599 63.8433 0.998993 10.3413
24600 53.7698 63.9349 0.998985 10.2304
24700 53.8191 64.0385 0.999144 10.181
24800 53.8231 64.1531 0.999171 10.178
24900 53.7472 64.213 0.999019 10.255
25000 53.6298 64.2059 0.998947 10.3723
25100 53.5197 64.181 0.999098 10.4818
25200 53.496 64.1674 0.997999 10.5053
25300 53.4461 64.1249 0.997769 10.5547
25400 53.5863 64.1008 0.998924 10.4142
25500 53.9216 64.1191 0.999044 10.0791
25600 54.3056 64.1487 0.99916 9.69558
25700 54.6025 64.1617 0.998143 9.39892
25800 54.997 64.1756 0.99782 9.00475
25900 55.4951 64.1947 0.997972 8.5071
26000 55.9305 64.177 0.995119 8.07142
26100 56.2878 64.1562 0.995023 7.71377
26200 56.5885 64.1532 0.988301 7.41312
26300 56.8304 64.1651 0.98797 7.17148
26400 56.982 64.1685 0.989913 7.02005
26500 57.1467 64.1802 0.990501 6.85567
26600 57.312 64.1972 0.988923 6.6909
26700 57.5011 64.1964 0.981578 6.50188
26800 57.7198 64.1834 0.983858 6.28293
26900 58.0222 64.1469 0.985894 5.97961
27000 58.3459 64.1012 0.984498 5.65505
27100 58.6386 64.0241 0.979172 5.36144
27200 58.9062 63.9853 0.980037 5.09377
27300 59.1447 63.9551 0.983285 4.85549
27400 59.3905 63.9425 0.983208 4.60981
27500 59.6607 63.9432 0.981503 4.33965
27600 59.9563 63.9487 0.980294 4.04401
27700 60.2372 63.9487 0.983315 3.76311
27800 60.4659 63.9418 0.984738 3.53454
27900 60.7145 63.9214 0.985118 3.28646
28000 60.9897 63.9059 0.982811 3.01181
28100 61.2804 63.8856 0.984463 2.72198
28200 61.5293 63.8618 0.988408 2.47454
28300 61.7972 63.8248 0.988036 2.20972
28400 62.0937 63.7867 0.985717 1.9182
28500 62.437 63.7504 0.985803 1.5828
28600 62.8049 63.7207 0.989284 1.22734
28700 63.2149 63.6859 0.989877 0.845625
28800 63.6627 63.6553 0.989225 0.482264
28900 64.1543 63.649 0.98793 0.3834
29000 64.6393 63.6626 0.989482 0.722904
29100 65.0818 63.663 0.990936 1.13312
29200 65.4698 63.6403 0.990215 1.51317
29300 65.8038 63.613 0.988322 1.84484
29400 66.0921 63.5965 0.988652 2.13066
29500 66.3065 63.5893 0.990518 2.34276
29600 66.471 63.5623 0.990576 2.50942
29700 66.5716 63.5258 0.988362 2.61499
29800 66.6082 63.4957 0.986482 2.65652
29900 66.6082 63.4951 0.988481 2.65661
30000 66.6342 63.4757 0.989554 2.6859
30100 66.7259 63.4497 0.988091 2.78084
30200 66.9137 63.4301 0.986477 2.96895
30300 67.2282 63.4079 0.988044 3.28206
30400 67.6399 63.3999 0.988896 3.68904
30500 68.1088 63.3794 0.988198 4.15537
30600 68.5976 63.3644 0.985076 4.64135
30700 69.0478 63.3659 0.985161 5.08746
30800 69.4496 63.3756 0.987604 5.48524
30900 69.8027 63.3866 0.986999 5.83499
31000 70.1353 63.3774 0.984787 6.16685
31100 70.4586 63.3738 0.983376 6.48891
31200 70.7701 63.3751 0.984074 6.79892
31300 71.079 63.347 0.986072 7.10908
31400 71.3329 63.279 0.984663 7.36826
31500 71.5434 63.2469 0.980886 7.5809
31600 71.7007 63.2365 0.981702 7.73844
31700 71.8423 63.1717 0.984652 7.88588
31800 71.9928 63.1624 0.984507 8.0366
31900 72.2238 63.2102 0.981526 8.26168
32000 72.5846 63.1583 0.979629 8.62578
32100 73.0295 63.0297 0.982766 9.08148
32200 73.4862 63.0183 0.984109 9.53683
32300 73.9751 63.0123 0.981287 10.0239
32400 74.4829 62.943 0.978521 10.5361
32500 74.9514 62.7951 0.979237 11.0175
32600 75.3569 62.6776 0.982507 11.4337
32700 75.6918 62.599 0.983723 11.7754
32800 75.9611 62.6079 0.978304 12.0419
32900 76.1976 62.559 0.976104 12.2824
33000 76.4566 62.4846 0.97919 12.5484
33100 76.7042 62.527 0.984427 12.7893
33200 76.9469 62.5499 0.967412 13.0278
33300 77.0673 62.4164 0.967474 13.1629
33400 76.919 62.2439 0.986437 13.0378
33500 76.5738 62.1434 0.985317 12.7101
33600 76.1296 62.0632 0.978992 12.2833
33700 75.5248 61.9919 0.973107 11.6985
33800 74.4265 61.9866 0.979977 10.6191
33900 72.6678 62.016 0.982902 8.89199
34000 70.9001 62.0185 0.982052 7.17896
34100 69.1002 62.0711 0.984883 5.45271
34200 67.3429 62.2735 0.988909 3.76243
34300 65.7397 62.4709 0.987998 2.31619
34400 64.3311 62.6186 0.986586 1.42052
34500 63.0787 62.7561 0.986999 1.54788
34600 61.7597 62.9449 0.986362 2.47628
34700 60.5567 63.1116 0.980861 3.55602
34800 59.7782 63.1314 0.975207 4.31025
34900 59.323 63.1369 0.977398 4.75599
35000 58.9033 63.2021 0.978402 5.15883
35100 58.5811 63.2454 0.974601 5.47115
35200 58.5136 63.1678 0.97267 5.54911
35300 58.6491 63.1087 0.976685 5.42462
35400 58.8838 63.1569 0.978831 5.18525
35500 59.2019 63.253 0.975898 4.85589
35600 59.4489 63.2751 0.97269 4.60846
35700 59.6898 63.268 0.977459 4.37191
35800 60.0836 63.2932 0.98084 3.97961
35900 60.5877 63.3239 0.983459 3.47863
36000 61.0982 63.42 0.980302 2.95921
36100 61.6738 63.5095 0.987502 2.37738
36200 62.2181 63.5495 0.989533 1.83796
36300 62.6113 63.5927 0.991177 1.44723
36400 62.7942 63.6334 0.989837 1.26035
36500 62.82 63.6369 0.988598 1.23464
36600 62.6438 63.5981 0.990033 1.41453
36700 62.3874 63.558 0.990286 1.67206
36800 62.0388 63.4929 0.985338 2.02572
36900 61.7833 63.3774 0.983029 2.30247
37000 61.5715 63.2756 0.984577 2.53422
37100 61.4481 63.154 0.98439 2.68851
37200 61.5324 63.0442 0.986018 2.64628
37300 61.7077 62.9845 0.98341 2.50714
37400 61.8353 63.0206 0.984015 2.37596
37500 61.9106 63.0608 0.986607 2.29084
37600 62.0593 63.1187 0.986563 2.13141
37700 62.0196 63.2296 0.983995 2.12491
37800 61.8341 63.3623 0.983575 2.25783
37900 61.6248 63.4848 0.986226 2.43045
38000 61.3962 63.5637 0.988991 2.64015
38100 61.158 63.5867 0.986904 2.87192
38200 61.016 63.595 0.98637 3.01137
38300 60.9888 63.6182 0.988554 3.03535
38400 61.033 63.6613 0.989302 2.98632
38500 61.1372 63.708 0.98754 2.87768
38600 61.3032 63.7548 0.986254 2.70793
38700 61.5428 63.7843 0.989217 2.46669
38800 61.7683 63.7738 0.9906 2.24309
38900 61.9972 63.7919 0.989708 2.01363
39000 62.21 63.8276 0.987929 1.79829
39100 62.4538 63.8537 0.9888 1.55314
39200 62.7548 63.8876 0.991349 1.25022
39300 63.0324 63.9276 0.99125 0.970257
39400 63.28 63.9426 0.989554 0.722327
39500 63.4518 63.9418 0.989372 0.551261
39600 63.5222 63.9508 0.991518 0.480352
39700 63.5497 63.914 0.992104 0.458405
39800 63.5347 63.8672 0.990811 0.483897
39900 63.4789 63.8301 0.989193 0.548065
40000 63.3772 63.8188 0.990797 0.648631
40100 63.2854 63.7892 0.99166 0.745019
40200 63.171 63.7756 0.990497 0.858802
40300 63.0734 63.8003 0.989199 0.947924
40400 62.9664 63.8451 0.990431 1.04518
40500 62.8546 63.8783 0.991701 1.1518
40600 62.7298 63.9089 0.990957 1.27343
40700 62.6607 63.9412 0.989358 1.34059
40800 62.5704 63.9848 0.990064 1.42968
40900 62.4245 64.0148 0.990872 1.57552
41000 62.2858 64.0349 0.99033 1.71455
41100 62.2048 64.0472 0.988506 1.79585
41200 62.1467 64.0733 0.988906 1.85474
41300 62.1216 64.1252 0.990723 1.8826
41400 62.2073 64.1378 0.990726 1.79794
41500 62.341 64.1249 0.988952 1.66365
41600 62.493 64.1361 0.988632 1.51313
41700 62.6696 64.1615 0.991167 1.34019
41800 62.8932 64.1648 0.991857 1.11901
41900 63.0793 64.1671 0.990594 0.935695
42000 63.1673 64.1802 0.989484 0.85195
42100 63.1647 64.1975 0.990833 0.858348
42200 63.1558 64.2207 0.991932 0.872553
42300 63.1471 64.2338 0.991064 0.884347
42400 63.1349 64.234 0.989592 0.896179
42500 63.1135 64.2573 0.990477 0.923054
42600 63.1876 64.2864 0.991913 0.861405
42700 63.377 64.3026 0.99148 0.692573
42800 63.6659 64.3036 0.990563 0.451454
42900 63.988 64.3123 0.990566 0.312502
43000 64.3169 64.3195 0.992124 0.449989
43100 64.6537 64.3079 0.992547 0.722556
43200 64.9881 64.2979 0.991255 1.03202
43300 65.3061 64.2776 0.990459 1.33524
43400 65.5993 64.2556 0.991448 1.61957
43500 65.9004 64.2311 0.992452 1.9144
43600 66.1994 64.2198 0.991615 2.21035
43700 66.5339 64.2069 0.989706 2.54232
43800 66.8754 64.1703 0.990356 2.88043
43900 67.2441 64.142 0.991871 3.24716
44000 67.6245 64.1365 0.991016 3.62709
44100 67.9912 64.1322 0.989279 3.99342
44200 68.339 64.1158 0.988984 4.3405
44300 68.6586 64.1046 0.989617 4.65973
44400 68.9703 64.1245 0.990426 4.9719
44500 69.2866 64.161 0.988931 5.289
44600 69.6257 64.1325 0.986307 5.62731
44700 69.9448 64.065 0.987748 5.94513
44800 70.2064 63.9967 0.989434 6.20641
44900 70.4571 63.9321 0.988575 6.45741
45000 70.7347 63.8856 0.985311 6.73565
45100 70.9858 63.7663 0.985637 6.98974
45200 71.1926 63.647 0.987984 7.20129
45300 71.3796 63.5359 0.988095 7.39414
45400 71.5149 63.5203 0.98486 7.53016
45500 71.6701 63.4693 0.982867 7.68848
45600 71.8151 63.4319 0.985331 7.83576
45700 71.8667 63.3961 0.98675 7.88983
45800 71.8059 63.3837 0.984932 7.83022
45900 71.7908 63.2783 0.982827 7.82421
46000 71.766 62.9622 0.984701 7.83502
46100 71.554 62.7287 0.986756 7.66027
46200 71.0912 62.7363 0.986488 7.20293
46300 70.6268 62.8195 0.984344 6.7311
46400 70.2296 62.852 0.987367 6.33448
46500 69.7785 62.9067 0.989006 5.88101
46600 69.2485 63.016 0.988814 5.3399
46700 68.523 63.0918 0.987073 4.61333
46800 67.7759 63.0887 0.989476 3.88434
46900 66.7159 63.0188 0.991427 2.88769
47000 65.3178 62.9715 0.990239 1.67162
47100 64.05 62.9166 0.988389 1.08459
47200 63.1767 62.8968 0.98906 1.3765
47300 62.2141 62.9326 0.988477 2.08057
47400 60.9244 63.0134 0.984188 3.23001
47500 59.8438 63.0488 0.980666 4.26367
47600 59.2196 63.1066 0.982848 4.86321
47700 58.9071 63.188 0.983491 5.15727
47800 58.8422 63.3236 0.980525 5.20199
47900 58.7985 63.3892 0.979219 5.2372
48000 58.8038 63.4292 0.982348 5.22745
48100 58.9698 63.4186 0.983882 5.06366
48200 59.0312 63.4295 0.981546 5.00148
48300 58.9906 63.3957 0.979231 5.04574
48400 58.7965 63.326 0.981741 5.24701
48500 58.415 63.2649 0.987724 5.63322
48600 58.0178 63.2375 0.986151 6.03059
48700 57.4328 63.1643 0.991729 6.62018
48800 56.7027 63.1144 0.992786 7.35084
48900 55.8641 63.0687 0.996499 8.18908
49000 55.3993 63.029 0.99647 8.65528
49100 55.1623 62.9433 0.995872 8.90067
49200 54.9188 62.8662 0.996234 9.1517
49300 54.6541 62.8031 0.996768 9.42221
49400 54.5979 62.7937 0.996539 9.47921
49500 54.6861 62.8272 0.99585 9.38746
49600 54.8798 62.8056 0.995975 9.19807
49700 55.2157 62.7976 0.99661 8.86621
49800 55.6699 62.8918 0.996308 8.40351
49900 56.2301 62.9845 0.99557 7.83602
