# step F_x F_y v_x v_y alignment
2500 -0.00189174 -0.000260788 0.409584 -0.000495911 -0.990465
2510 -0.00193392 -0.000283418 0.411911 0.000228882 -0.989512
2520 -0.00197752 -0.000305394 0.408325 -0.000610352 -0.988055
2530 -0.00202174 -0.000326551 0.411568 7.6294e-05 -0.987235
2540 -0.00206565 -0.00034665 0.412064 -0.000495911 -0.98601
2550 -0.00210816 -0.000365246 0.411491 0.000419617 -0.985495
2560 -0.00214823 -0.000382009 0.409431 -0.00137329 -0.983962
2570 -0.00218477 -0.000396615 0.411797 -0.00125885 -0.983368
2580 -0.00221666 -0.000408762 0.411606 0.000343323 -0.98357
2590 -0.00224308 -0.000418276 0.409699 -0.00221252 -0.98205
2600 -0.00226294 -0.000424914 0.413132 -0.00076294 -0.982482
2610 -0.0022757 -0.000428664 0.411644 0.000152588 -0.982786
2620 -0.00228092 -0.00042972 0.408783 -0.00274658 -0.981446
2630 -0.00227868 -0.000428021 0.41256 -0.00267029 -0.981597
2640 -0.00226902 -0.000424209 0.410652 -0.00259399 -0.981788
2650 -0.00225244 -0.000418549 0.409851 -0.00125885 -0.982604
2660 -0.00222946 -0.000411476 0.410614 -0.0043869 -0.981396
2670 -0.00180018 0.000486156 0.409355 -0.00110626 -0.966115
2680 -0.00177878 0.000482075 0.409431 -0.00427246 -0.967859
2690 -0.00175372 0.000476356 0.410996 -0.00141144 -0.965928
2700 -0.00172561 0.000469074 0.409927 -0.00499725 -0.968109
2710 -0.00169547 0.000460438 0.407257 -0.00617981 -0.968912
2720 -0.00166401 0.000450446 0.411148 -0.00263214 -0.966912
2730 -0.00163201 0.000439397 0.407486 -0.00335693 -0.967723
2740 -0.00160047 0.000427366 0.407486 -0.00492096 -0.969193
2750 -0.00156999 0.000414636 0.406036 -0.00518799 -0.970033
2760 -0.00154123 0.000401354 0.410538 -0.00320435 -0.969663
2770 -0.0015147 0.000387774 0.407105 -0.00408173 -0.971195
2780 -0.00149075 0.000374195 0.407028 -0.00400543 -0.97226
2790 -0.00146987 0.000360765 0.407105 -0.00492096 -0.973986
2800 -0.00145223 0.000347663 0.406609 -0.00579834 -0.97574
2810 -0.00143809 0.000334873 0.406303 -0.00434876 -0.976315
2820 -0.00142783 0.000322753 0.407372 -0.00499725 -0.978022
2830 -0.00142134 0.00031111 0.405579 -0.00671387 -0.980278
2840 -0.00141879 0.000300092 0.406685 -0.0038147 -0.980253
2850 -0.00142023 0.000289864 0.403709 -0.00629425 -0.982799
2860 -0.00142567 0.000280378 0.408783 -0.00419617 -0.983134
2870 -0.00143495 0.000271594 0.405388 -0.00572205 -0.985082
2880 -0.00144822 0.000263614 0.40554 -0.00621796 -0.986464
2890 -0.00146523 0.000256333 0.406456 -0.00537872 -0.987234
2900 -0.00148586 0.000249871 0.406532 -0.00648499 -0.988673
2910 -0.0015099 0.00024405 0.404625 -0.00812531 -0.990192
2920 -0.00101396 0.00104395 0.40657 -0.00640869 -0.70795
2930 -0.00103075 0.00104881 0.405846 -0.0050354 -0.709734
2940 -0.00104944 0.00105608 0.403595 -0.00915527 -0.720779
2950 -0.00106973 0.00106565 0.407867 -0.00335693 -0.714241
2960 -0.00109145 0.00107731 0.4039 -0.00759125 -0.724778
2970 -0.00111412 0.00109087 0.404015 -0.00640869 -0.72553
2980 -0.00113727 0.00110583 0.405808 -0.00911713 -0.732425
2990 -0.00116035 0.00112193 0.405197 -0.00621796 -0.72949
3000 -0.00118293 0.00113891 0.402794 -0.00850678 -0.734868
3010 -0.00120429 0.00115609 0.405006 -0.00682831 -0.732969
3020 -0.00122383 0.00117304 0.405731 -0.00728607 -0.734237
3030 -0.00124108 0.00118934 0.40184 -0.00892639 -0.737186
3040 -0.00125528 0.00120441 0.406342 -0.00915527 -0.736988
3050 -0.00126616 0.00121768 0.403481 -0.00774384 -0.733941
3060 -0.0012733 0.00122852 0.404968 -0.00862122 -0.734263
3070 -0.00127642 0.00123653 0.403252 -0.00816345 -0.732178
3080 -0.00127547 0.00124146 0.405617 -0.0101471 -0.733813
3090 -0.00127037 0.00124289 0.405235 -0.00915527 -0.730409
3100 -0.00126128 0.00124078 0.406723 -0.00728607 -0.725322
3110 -0.0012487 0.00123487 0.405197 -0.0124741 -0.732333
3120 -0.00123295 0.00122548 0.404053 -0.00972748 -0.726014
3130 -0.00121459 0.00121261 0.404549 -0.0101089 -0.725112
3140 -0.00119413 0.00119683 0.404663 -0.0111008 -0.725456
3150 -0.00117229 0.00117829 0.405731 -0.00934601 -0.721438
3160 -0.00114957 0.00115773 0.405769 -0.0112152 -0.723939
3170 0.000385059 0.00340064 0.403862 -0.00839233 0.0918442
3180 0.000372196 0.00333687 0.405808 -0.010643 0.0847587
3190 0.000359676 0.00327071 0.404434 -0.010376 0.0837804
3200 0.000347706 0.00320349 0.405006 -0.0104904 0.082128
3210 0.000336392 0.00313672 0.405273 -0.0087738 0.0850863
3220 0.000325762 0.00307171 0.405235 -0.00980377 0.0813792
3230 0.000316041 0.00300966 0.405388 -0.0102615 0.0792348
3240 0.000307228 0.00295149 0.403442 -0.0108719 0.0767026
3250 0.000299158 0.00289803 0.407639 -0.00717163 0.0851693
3260 0.000292117 0.0028501 0.40554 -0.0105286 0.0761071
3270 0.000285894 0.00280803 0.407257 -0.00965119 0.0776914
3280 0.000280608 0.00277238 0.406113 -0.00873566 0.0792817
3290 0.000276112 0.00274348 0.406227 -0.0110245 0.0731079
3300 0.000272375 0.00272143 0.407448 -0.00892639 0.07777
3310 0.000269442 0.00270626 0.408592 -0.0100708 0.0745234
3320 0.000267118 0.00269819 0.408554 -0.00862122 0.0775013
3330 0.000265376 0.00269722 0.407753 -0.00900269 0.0759246
3340 0.000264468 0.00270291 0.405121 -0.0113297 0.0695202
3350 0.00026393 0.00271541 0.411072 -0.00793457 0.0775152
3360 0.000263811 0.00273422 0.406723 -0.0105286 0.0702486
3370 0.000263929 0.0027591 0.410576 -0.00896454 0.0734706
3380 0.00026427 0.00278981 0.407295 -0.00850678 0.0734958
3390 0.000264671 0.0028252 0.409164 -0.0101089 0.0686543
3400 0.000265087 0.00286503 0.408783 -0.00873566 0.0708361
3410 0.00945836 0.0107209 0.408287 -0.00991821 0.643166
3420 0.00945769 0.010843 0.408936 -0.00934601 0.639936
3430 0.00944695 0.0109712 0.406342 -0.00984192 0.633965
3440 0.00942328 0.0111024 0.40905 -0.00823975 0.631613
3450 0.00938287 0.0112322 0.407562 -0.0109863 0.620186
3460 0.0093237 0.0113561 0.409622 -0.00835419 0.618664
3470 0.009244 0.0114699 0.408211 -0.00831604 0.611521
3480 0.0091419 0.0115694 0.40863 -0.00728607 0.6059
3490 0.00901745 0.0116493 0.408325 -0.0115585 0.589496
3500 0.00886995 0.011706 0.410423 -0.00560761 0.592988
3510 0.00870122 0.0117364 0.409775 -0.00907898 0.577623
3520 0.00851221 0.0117375 0.407639 -0.00953674 0.567989
3530 0.00830535 0.0117075 0.408783 -0.00919342 0.560113
3540 0.00808369 0.0116463 0.410996 -0.0087738 0.552541
3550 0.00785044 0.0115529 0.408249 -0.00579834 0.550237
3560 0.00760867 0.0114291 0.408859 -0.010643 0.532309
3570 0.00736161 0.011277 0.41214 -0.00644684 0.533471
3580 0.00711251 0.0111004 0.409241 -0.00881195 0.521248
3590 0.00686484 0.0109028 0.407562 -0.00762939 0.516889
3600 0.00662097 0.0106881 0.412064 -0.00637054 0.513409
3610 0.00638322 0.0104612 0.411987 -0.00919342 0.5017
3620 0.00615424 0.0102266 0.407715 -0.00919342 0.496175
3630 0.0059353 0.00998869 0.411987 -0.00736237 0.495384
3640 0.00572817 0.00975151 0.406342 -0.0069046 0.491771
3650 0.0055344 0.00951885 0.412827 -0.00621796 0.489556
3660 0.022466 0.0449127 0.41008 -0.00762939 0.430655
3670 0.0224374 0.043686 0.410233 -0.00751495 0.4405
3680 0.0224631 0.0424884 0.40863 -0.00709534 0.45197
3690 0.0225413 0.041333 0.409546 -0.00835419 0.460783
3700 0.0226704 0.0402324 0.412979 -0.00816345 0.473599
3710 0.0228477 0.0391982 0.408554 -0.00637054 0.490045
3720 0.0230704 0.0382389 0.41359 -0.0050354 0.506125
3730 0.0233351 0.0373608 0.410233 -0.00610352 0.517071
3740 0.0236367 0.0365691 0.408478 -0.00823975 0.525787
3750 0.0239703 0.035867 0.410156 -0.00759125 0.540166
3760 0.0243292 0.0352555 0.410233 -0.00614166 0.555588
3770 0.024707 0.0347336 0.411911 -0.00617981 0.567352
3780 0.0250963 0.0343 0.410767 -0.00652313 0.577602
3790 0.0254883 0.0339515 0.411224 -0.00858307 0.583553
3800 0.0258743 0.0336832 0.414352 -0.00427246 0.600971
3810 0.0262446 0.0334902 0.409851 -0.00705719 0.603173
3820 0.0265901 0.0333646 0.417328 -0.00564575 0.612606
3830 0.0269014 0.0332998 0.410156 -0.00831604 0.612516
3840 0.0271695 0.0332858 0.412903 -0.00576019 0.621472
3850 0.0273864 0.0333144 0.413361 -0.0063324 0.623123
3860 0.0275457 0.0333741 0.415344 -0.00728607 0.622924
3870 0.0276415 0.033453 0.41481 -0.00537872 0.626921
3880 0.0276704 0.0335399 0.415649 -0.00549316 0.626133
3890 0.0276305 0.0336219 0.411072 -0.00843048 0.618936
3900 0.0337759 0.11849 0.416794 -0.00587463 0.260551
3910 0.0334839 0.118413 0.413513 -0.00804901 0.253324
3920 0.0331342 0.118245 0.416489 -0.00457764 0.259224
3930 0.0327384 0.117982 0.41153 -0.0094223 0.245257
3940 0.0323115 0.117619 0.419464 -0.00480652 0.253834
3950 0.0318665 0.117157 0.414047 -0.00652313 0.24723
3960 0.031417 0.116597 0.417557 -0.00419617 0.250453
3970 0.0309761 0.115948 0.414887 -0.00732422 0.24101
3980 0.0305548 0.115216 0.417099 -0.00606537 0.242253
3990 0.030164 0.114414 0.415802 -0.00694275 0.23875
4000 0.0298122 0.113552 0.415039 -0.00827789 0.2346
4010 0.0295077 0.112646 0.416565 -0.00480652 0.242224
4020 0.0292552 0.111709 0.418777 -0.00499725 0.241782
4030 0.0290614 0.110758 0.41626 -0.00804901 0.235047
4040 0.0289293 0.109808 0.422287 -0.0043869 0.244702
4050 0.0288618 0.108872 0.418777 -0.00694275 0.240188
4060 0.0288603 0.107964 0.417328 -0.00572205 0.244978
4070 0.028926 0.107094 0.423737 -0.00808716 0.242286
4080 0.0290585 0.106273 0.420227 -0.00358582 0.25551
4090 0.029258 0.105509 0.418625 -0.0094223 0.245469
4100 0.029522 0.104808 0.42244 -0.00606537 0.25728
4110 0.0298483 0.104176 0.422974 -0.00663757 0.260319
4120 0.0302341 0.103616 0.420914 -0.00644684 0.265374
4130 0.0306746 0.103131 0.423431 -0.0063324 0.270725
4140 0.00751961 0.130124 0.425568 -0.00675201 0.0418472
4150 0.0078032 0.131168 0.423584 -0.00572205 0.0458961
4160 0.00807651 0.132186 0.424957 -0.00476837 0.0497826
4170 0.0083323 0.133162 0.421143 -0.00827789 0.042825
4180 0.00856406 0.134075 0.424805 -0.00461578 0.0528985
4190 0.00876473 0.134909 0.426254 -0.0088501 0.0441025
4200 0.00892753 0.135649 0.422668 -0.0069809 0.0491843
4210 0.00904614 0.136275 0.427856 -0.00461578 0.0554678
4220 0.00911539 0.136779 0.425262 -0.00843048 0.0467062
4230 0.00913088 0.137148 0.428772 -0.00602722 0.0523988
