# Timeseries for σ = 6.000000e-01
# step  t  R_global  L
276  2.760000  0.886858  11440.539062
277  2.770000  0.886774  11444.649414
278  2.780000  0.886631  11441.079102
279  2.790000  0.886934  11458.778320
280  2.800000  0.886767  11454.503906
281  2.810000  0.886276  11432.084961
282  2.820000  0.886324  11430.187500
283  2.830000  0.886316  11437.369141
284  2.840000  0.886145  11432.044922
285  2.850000  0.886211  11432.836914
286  2.860000  0.886024  11427.188477
287  2.870000  0.885851  11417.822266
288  2.880000  0.885492  11403.554688
289  2.890000  0.885535  11409.951172
290  2.900000  0.885387  11412.608398
291  2.910000  0.885566  11421.264648
292  2.920000  0.885640  11423.906250
293  2.930000  0.886051  11433.150391
294  2.940000  0.885886  11424.908203
295  2.950000  0.885624  11410.685547
296  2.960000  0.885221  11396.020508
297  2.970000  0.885010  11388.725586
298  2.980000  0.885053  11391.681641
299  2.990000  0.884849  11389.459961
300  3.000000  0.884929  11393.161133
301  3.010000  0.884945  11395.886719
302  3.020000  0.885026  11405.885742
303  3.030000  0.885074  11403.802734
304  3.040000  0.885149  11405.292969
305  3.050000  0.885286  11409.425781
306  3.060000  0.885037  11396.507812
307  3.070000  0.885134  11401.989258
308  3.080000  0.885050  11401.514648
309  3.090000  0.885481  11412.875000
310  3.100000  0.885535  11418.096680
311  3.110000  0.885597  11423.792969
312  3.120000  0.885864  11434.972656
313  3.130000  0.885896  11439.984375
314  3.140000  0.885956  11448.776367
315  3.150000  0.885940  11444.750000
316  3.160000  0.885855  11443.236328
317  3.170000  0.885574  11435.060547
318  3.180000  0.885636  11442.216797
319  3.190000  0.885530  11442.779297
320  3.200000  0.885368  11435.899414
321  3.210000  0.885006  11427.172852
322  3.220000  0.884723  11416.653320
323  3.230000  0.884420  11405.983398
324  3.240000  0.884251  11397.633789
325  3.250000  0.883949  11391.534180
326  3.260000  0.883711  11383.397461
327  3.270000  0.883736  11380.845703
328  3.280000  0.883771  11384.518555
329  3.290000  0.883610  11377.912109
330  3.300000  0.883544  11378.437500
331  3.310000  0.883498  11380.469727
332  3.320000  0.883384  11378.837891
333  3.330000  0.883373  11377.906250
334  3.340000  0.883351  11376.689453
335  3.350000  0.882864  11356.079102
336  3.360000  0.882597  11342.913086
337  3.370000  0.882881  11355.500000
338  3.380000  0.882779  11359.266602
339  3.390000  0.882810  11361.169922
