# Timeseries for σ = 1.500000e+00
# step  t  R_global  L
242  2.420000  0.215767  962.085754
243  2.430000  0.217016  961.573730
244  2.440000  0.216158  959.179504
245  2.450000  0.215553  955.670288
246  2.460000  0.215640  955.864563
247  2.470000  0.214714  948.211182
248  2.480000  0.214188  953.196777
249  2.490000  0.213332  957.535217
250  2.500000  0.211456  952.125366
251  2.510000  0.209388  944.417725
252  2.520000  0.207658  941.146057
253  2.530000  0.206946  937.766541
254  2.540000  0.204398  937.634460
255  2.550000  0.203465  935.702515
256  2.560000  0.201828  931.772400
257  2.570000  0.200309  935.224182
258  2.580000  0.199535  935.844055
259  2.590000  0.198336  930.653503
260  2.600000  0.197656  930.923706
261  2.610000  0.197326  934.409119
262  2.620000  0.196597  938.822815
263  2.630000  0.195196  930.065552
264  2.640000  0.194240  923.818787
265  2.650000  0.193621  913.906494
266  2.660000  0.193500  919.323730
267  2.670000  0.193069  914.622192
268  2.680000  0.193142  915.471802
269  2.690000  0.191998  916.383057
270  2.700000  0.190710  906.602356
271  2.710000  0.190422  899.826355
272  2.720000  0.188799  890.146362
273  2.730000  0.186806  889.560730
274  2.740000  0.185017  887.825989
275  2.750000  0.183778  892.752380
276  2.760000  0.182710  898.008850
277  2.770000  0.181655  899.710999
278  2.780000  0.179611  893.688110
279  2.790000  0.178476  894.651123
280  2.800000  0.177872  889.124390
281  2.810000  0.176749  890.906006
282  2.820000  0.175478  892.453674
283  2.830000  0.174011  883.706543
284  2.840000  0.171598  878.167053
285  2.850000  0.171123  870.975708
286  2.860000  0.170687  873.821350
287  2.870000  0.171067  870.658325
288  2.880000  0.170354  871.472595
289  2.890000  0.170387  879.766602
290  2.900000  0.169339  878.198425
291  2.910000  0.168610  874.258606
292  2.920000  0.167966  870.428101
293  2.930000  0.166696  867.885010
294  2.940000  0.165877  873.836243
295  2.950000  0.165850  870.319946
296  2.960000  0.163806  866.731018
297  2.970000  0.162958  866.862915
298  2.980000  0.162066  870.671997
299  2.990000  0.161235  866.009888
300  3.000000  0.160850  861.825562
301  3.010000  0.159095  863.063538
302  3.020000  0.159850  862.903503
303  3.030000  0.159100  859.147766
304  3.040000  0.158134  857.593079
305  3.050000  0.158746  860.591736
306  3.060000  0.157962  854.453857
307  3.070000  0.157184  846.069885
308  3.080000  0.157812  846.290039
309  3.090000  0.158537  853.094910
310  3.100000  0.158470  849.344910
311  3.110000  0.158710  849.037292
312  3.120000  0.157373  844.805664
313  3.130000  0.157483  845.161743
314  3.140000  0.155676  843.000427
315  3.150000  0.154360  833.835388
316  3.160000  0.153619  840.396057
317  3.170000  0.153382  834.699158
318  3.180000  0.152750  828.644592
319  3.190000  0.151611  825.895142
320  3.200000  0.152344  827.769470
321  3.210000  0.151359  823.819458
322  3.220000  0.150899  822.399597
323  3.230000  0.150505  824.649658
324  3.240000  0.149903  817.012695
325  3.250000  0.149833  824.739319
326  3.260000  0.148302  818.434631
327  3.270000  0.147351  814.193970
328  3.280000  0.145997  808.182739
329  3.290000  0.145927  801.879883
330  3.300000  0.144043  792.287109
331  3.310000  0.143840  792.213501
332  3.320000  0.143480  788.438599
333  3.330000  0.143997  788.873108
334  3.340000  0.145250  788.402527
335  3.350000  0.145510  793.234070
336  3.360000  0.145922  795.802490
337  3.370000  0.145204  792.227295
338  3.380000  0.143209  786.659424
339  3.390000  0.141842  786.890747
340  3.400000  0.141387  786.113281
341  3.410000  0.141259  788.583313
342  3.420000  0.140570  789.958435
343  3.430000  0.140264  790.371460
344  3.440000  0.139688  788.123108
345  3.450000  0.139906  788.378113
346  3.460000  0.140476  792.399231
347  3.470000  0.140362  802.975281
348  3.480000  0.139285  799.758728
349  3.490000  0.138140  803.379944
350  3.500000  0.137710  808.377197
351  3.510000  0.138102  809.645264
352  3.520000  0.137871  813.115417
353  3.530000  0.137788  809.494995
354  3.540000  0.135674  804.805725
355  3.550000  0.135714  803.039368
356  3.560000  0.136088  802.291260
357  3.570000  0.137089  807.911072
358  3.580000  0.137058  808.808228
359  3.590000  0.137124  809.828491
360  3.600000  0.136366  807.988403
361  3.610000  0.136953  808.099548
362  3.620000  0.134724  808.507996
363  3.630000  0.134063  807.448059
364  3.640000  0.132866  804.899048
365  3.650000  0.130725  802.440186
366  3.660000  0.130416  804.873169
367  3.670000  0.128904  799.370361
368  3.680000  0.129336  802.644714
369  3.690000  0.129412  795.846558
370  3.700000  0.126968  790.100464
371  3.710000  0.125437  786.377075
372  3.720000  0.124254  784.140808
373  3.730000  0.123657  782.211731
374  3.740000  0.123821  781.712952
375  3.750000  0.122933  776.006348
376  3.760000  0.123432  776.637451
377  3.770000  0.122483  774.350464
378  3.780000  0.124255  781.382568
379  3.790000  0.123793  781.450439
380  3.800000  0.122917  777.702332
381  3.810000  0.121588  774.804932
382  3.820000  0.121186  774.422729
383  3.830000  0.122043  773.498108
384  3.840000  0.122107  775.267090
385  3.850000  0.119879  772.466309
386  3.860000  0.119350  768.771179
387  3.870000  0.119143  764.894470
388  3.880000  0.120451  778.191406
389  3.890000  0.119641  778.268066
390  3.900000  0.119430  778.638062
391  3.910000  0.120428  777.857239
392  3.920000  0.120415  779.244019
393  3.930000  0.120471  778.485657
394  3.940000  0.119555  777.707642
395  3.950000  0.120024  776.164490
396  3.960000  0.121000  781.211365
397  3.970000  0.120623  776.488770
398  3.980000  0.119706  774.418213
399  3.990000  0.119629  774.205261
400  4.000000  0.118251  777.204102
401  4.010000  0.117484  775.719849
402  4.020000  0.117971  778.883423
403  4.030000  0.117651  773.983337
404  4.040000  0.116666  770.911438
405  4.050000  0.117501  776.687927
406  4.060000  0.117812  776.891235
407  4.070000  0.118091  781.062988
408  4.080000  0.118300  789.084290
409  4.090000  0.116825  787.423889
410  4.100000  0.115569  785.432434
411  4.110000  0.115226  783.559448
412  4.120000  0.115609  779.830811
413  4.130000  0.114378  781.835876
414  4.140000  0.113211  781.988403
415  4.150000  0.113949  785.323975
416  4.160000  0.115053  788.566040
417  4.170000  0.114588  793.019348
418  4.180000  0.113902  788.014648
419  4.190000  0.113423  785.994324
420  4.200000  0.113595  785.679810
421  4.210000  0.113577  782.130493
422  4.220000  0.113585  781.060425
423  4.230000  0.113869  777.072388
424  4.240000  0.112558  776.883179
425  4.250000  0.112992  773.157654
426  4.260000  0.112678  765.897949
427  4.270000  0.112550  764.093872
428  4.280000  0.112730  762.086792
429  4.290000  0.113447  764.887024
430  4.300000  0.112674  762.991211
431  4.310000  0.112735  765.218323
432  4.320000  0.112545  763.944153
433  4.330000  0.111237  765.670410
434  4.340000  0.111368  767.966675
435  4.350000  0.110193  775.137268
436  4.360000  0.109605  771.604492
437  4.370000  0.108858  774.601807
