# x y B_z phi A'_x A'_y
53 3 0 -0.736471 0.0154212 0.0718805
54 3 0 -0.722204 0.012306 0.0700384
55 3 0 -0.711859 0.00806528 0.0673021
56 3 0 -0.706074 0.00432259 0.063279
57 3 0 -0.703213 0.00208646 0.0582919
58 3 0 -0.701901 -0.000233799 0.0530249
59 3 0 -0.703681 -0.00357831 0.0472291
60 3 0 -0.709057 -0.00709292 0.0405255
61 3 0 -0.717867 -0.0114164 0.0333231
62 3 -0.00860293 -0.73189 -0.0171052 0.0254605
63 3 0 -0.752077 0 0

0 4 0 -2.42276 0 0
1 4 -0.00885075 -2.27404 0.139069 0.00416911
2 4 0 -2.14462 0.120881 0.0247903
3 4 0 -2.03228 0.106461 0.0438435
4 4 0 -1.9317 0.0935106 0.0607737
5 4 0 -1.84525 0.0811664 0.0749529
6 4 0 -1.76937 0.0730957 0.0880406
7 4 0 -1.69906 0.0639666 0.0992157
8 4 0 -1.64144 0.0485696 0.10616
9 4 0 -1.60192 0.0326031 0.108906
10 4 0 -1.57623 0.0224053 0.109194
11 4 0 -1.55711 0.0181193 0.108494
12 4 0 -1.53999 0.0170509 0.107493
13 4 0 -1.52301 0.0171792 0.10642
14 4 0 -1.50563 0.0176394 0.105323
15 4 0 -1.48773 0.0181726 0.104222
16 4 0 -1.46929 0.0187209 0.103116
17 4 0 -1.45029 0.0192695 0.10201
18 4 0 -1.43075 0.0198117 0.100901
19 4 0 -1.41067 0.0203437 0.0997974
20 4 0 -1.39006 0.0208647 0.098697
21 4 0 -1.36894 0.0213689 0.0976019
22 4 0 -1.34732 0.0218492 0.0965148
23 4 0 -1.32524 0.0223036 0.0954344
24 4 0 -1.30272 0.0227278 0.0943642
25 4 0 -1.27978 0.0231171 0.0933043
26 4 0 -1.25648 0.0234639 0.0922538
27 4 0 -1.23286 0.0237645 0.0912136
28 4 0 -1.20895 0.0240188 0.0901814
29 4 0 -1.18482 0.0242202 0.0891563
30 4 0 -1.16051 0.0243652 0.0881376
31 4 0 -1.13609 0.0244537 0.0871235
32 4 0 -1.1116 0.0244828 0.086109
33 4 0 -1.08712 0.0244531 0.0850984
34 4 0 -1.0627 0.0243659 0.0840826
35 4 0 -1.03839 0.0242199 0.083065
36 4 0 -1.01426 0.0240192 0.0820397
37 4 0 -0.990352 0.0237664 0.0810074
38 4 0 -0.966726 0.0234634 0.0799667
39 4 0 -0.943426 0.0231159 0.0789162
40 4 0 -0.920494 0.022729 0.0778562
41 4 0 -0.897968 0.0223054 0.0767854
42 4 0 -0.875883 0.0218495 0.0757078
43 4 0 -0.854268 0.0213682 0.0746197
44 4 0 -0.833147 0.020865 0.0735244
45 4 0 -0.812539 0.0203439 0.0724242
46 4 0 -0.792459 0.0198106 0.0713201
47 4 0 -0.772917 0.0192686 0.0702125
48 4 0 -0.753922 0.0187196 0.0691051
49 4 0 -0.735478 0.0181653 0.0679998
50 4 0 -0.717591 0.0175923 0.0668974
51 4 0 -0.700293 0.0169241 0.0657971
52 4 0 -0.683743 0.0159085 0.0646884
53 4 0 -0.668476 0.0139513 0.0635191
54 4 0 -0.65584 0.0102816 0.0621092
55 4 0 -0.647913 0.00501758 0.0600556
56 4 0 -0.645805 0.000117928 0.0568549
57 4 0 -0.647677 -0.0027768 0.0524912
58 4 0 -0.651359 -0.00540516 0.0476842
59 4 0 -0.658488 -0.00941199 0.0427269
60 4 0 -0.670183 -0.0136375 0.0370779
61 4 0 -0.685763 -0.0183918 0.030916
62 4 -0.00888388 -0.706966 -0.0244159 0.0244465
63 4 0 -0.734594 0 0

0 5 0 -2.44074 0 0
1 5 -0.00912839 -2.272 0.158526 0.000129819
2 5 0 -2.12369 0.139147 0.017653
3 5 0 -1.99371 0.122941 0.034089
4 5 0 -1.8778 0.107873 0.0487348
5 5 0 -1.77796 0.0943188 0.0620505
6 5 0 -1.68917 0.0847842 0.0742612
7 5 0 -1.60839 0.0721624 0.0833104
8 5 0 -1.54484 0.052559 0.0880204
9 5 0 -1.50328 0.0336479 0.0894732
10 5 0 -1.47755 0.0220637 0.0893394
11 5 0 -1.45915 0.0172969 0.0886389
12 5 0 -1.44295 0.0161018 0.0877878
13 5 0 -1.42694 0.0161996 0.086904
14 5 0 -1.41055 0.0166523 0.086013
15 5 0 -1.39364 0.0171851 0.085124
16 5 0 -1.37618 0.0177354 0.0842405
17 5 0 -1.35817 0.018286 0.083363
18 5 0 -1.33961 0.0188338 0.0824945
19 5 0 -1.3205 0.0193766 0.0816364
20 5 0 -1.30086 0.0199054 0.0807939
21 5 0 -1.28069 0.0204206 0.0799641
22 5 0 -1.26002 0.0209146 0.0791515
23 5 0 -1.23886 0.0213823 0.0783576
24 5 0 -1.21725 0.0218207 0.0775823
25 5 0 -1.19522 0.0222219 0.0768226
26 5 0 -1.17281 0.0225829 0.07608
27 5 0 -1.15005 0.0228982 0.0753576
28 5 0 -1.12701 0.0231612 0.0746484
29 5 0 -1.10373 0.0233712 0.0739515
30 5 0 -1.08027 0.0235239 0.0732648
31 5 0 -1.05668 0.0236157 0.0725855
32 5 0 -1.03304 0.0236472 0.07191
33 5 0 -1.00939 0.023616 0.0712348
34 5 0 -0.985806 0.0235232 0.0705546
35 5 0 -0.962343 0.0233711 0.0698671
36 5 0 -0.939064 0.0231616 0.0691721
37 5 0 -0.91602 0.0228978 0.0684616
38 5 0 -0.893268 0.0225827 0.0677377
39 5 0 -0.870855 0.0222222 0.0669969
40 5 0 -0.848824 0.0218202 0.0662394
41 5 0 -0.827214 0.0213832 0.0654617
42 5 0 -0.806057 0.0209148 0.0646661
43 5 0 -0.785385 0.0204202 0.0638537
44 5 0 -0.765217 0.0199059 0.0630252
45 5 0 -0.745573 0.0193762 0.0621817
46 5 0 -0.726464 0.0188345 0.0613249
47 5 0 -0.707904 0.0182856 0.0604567
48 5 0 -0.689893 0.0177342 0.0595793
49 5 0 -0.672436 0.0171785 0.058695
50 5 0 -0.655536 0.0166037 0.0578068
51 5 0 -0.639228 0.0159333 0.0569143
52 5 0 -0.62367 0.0148979 0.0560198
53 5 0 -0.609432 0.012842 0.0551036
54 5 0 -0.597986 0.0088425 0.0540859
55 5 0 -0.591747 0.00281098 0.0527168
56 5 0 -0.592364 -0.00324175 0.0505199
57 5 0 -0.598231 -0.00708428 0.0471207
58 5 0 -0.606532 -0.00999814 0.042851
59 5 0 -0.618227 -0.0141846 0.038426
60 5 0 -0.634902 -0.0189038 0.0337931
61 5 0 -0.656035 -0.0240479 0.0287609
62 5 -0.00917292 -0.682997 -0.0302534 0.0235896
63 5 0 -0.716542 0 0

0 6 0 -2.45928 0 0
1 6 -0.00941288 -2.27378 0.174979 -0.00274897
2 6 0 -2.10932 0.154841 0.0127804
3 6 0 -1.9641 0.137543 0.0274318
4 6 0 -1.83423 0.121472 0.0408564
5 6 0 -1.72115 0.106693 0.0530266
6 6 0 -1.62085 0.0943556 0.0627503
7 6 0 -1.53244 0.0777259 0.0687059
