# step dp_dt_x dp_dt_y F_x F_y ratio_x ratio_y
13200 0.078064 -0.0539742 4.23523e-05 2.12133e-06 1843.2 -25443.6
13300 0.0224113 -0.0483856 3.92803e-05 2.13609e-06 570.549 -22651.5
13400 -0.0094471 -0.0433655 3.02454e-05 1.95801e-06 -312.349 -22147.7
13500 -0.0182095 -0.0393257 3.09415e-05 1.92828e-06 -588.512 -20394.2
13600 -0.0012722 -0.0355072 4.05073e-05 2.0617e-06 -31.4067 -17222.3
13700 0.0424995 -0.0338287 4.14848e-05 2.13579e-06 1024.46 -15839
13800 0.0961151 -0.0327415 5.98741e-05 4.50873e-06 1605.29 -7261.82
13900 0.138731 -0.0299339 0.000134116 5.45777e-06 1034.41 -5484.65
14000 0.164505 -0.0271835 0.000236515 7.29656e-06 695.536 -3725.53
14100 0.181646 -0.0262375 0.000136346 6.16922e-06 1332.25 -4252.97
14200 0.198339 -0.0271072 5.88727e-05 4.53779e-06 3368.96 -5973.66
14300 0.221601 -0.0287018 0.00157691 2.34741e-05 140.529 -1222.7
14400 0.257498 -0.0341721 0.00185413 6.78992e-05 138.878 -503.276
14500 0.299273 -0.0430412 7.11591e-05 2.68385e-05 4205.68 -1603.71
14600 0.33058 -0.0520973 -4.4927e-06 6.74647e-06 -73581.5 -7722.16
14700 0.341867 -0.0598869 0.0707485 0.00042872 4.83215 -139.688
14800 0.337662 -0.0659447 0.157782 0.000392868 2.14005 -167.854
14900 0.330877 -0.0704384 0.0669168 -0.000194456 4.94461 362.233
15000 0.340548 -0.0720673 0.00299931 0.00305203 113.542 -23.6129
15100 0.37631 -0.0714722 0.0553401 0.0237431 6.79996 -3.01023
15200 0.428379 -0.0696869 -0.126436 -0.00827049 -3.38811 8.42597
15300 0.472761 -0.0673828 -0.0979531 -0.0474339 -4.8264 1.42056
15400 0.487654 -0.0631371 0.00168486 0.00115306 289.433 -54.7562
15500 0.465214 -0.0564117 -0.0348546 -0.0355083 -13.3473 1.58869
15600 0.409805 -0.0486298 -0.116031 -0.116817 -3.53185 0.416288
15700 0.339413 -0.0400963 -0.00778657 -0.117201 -43.5895 0.342116
15800 0.276283 -0.0333633 -0.00155356 -0.00168147 -177.838 19.8418
15900 0.236706 -0.029232 -0.000562255 -0.0266867 -420.993 1.09538
16000 0.227486 -0.0295143 -0.00103185 -0.117998 -220.465 0.250125
16100 0.243576 -0.0326271 -0.00310071 -0.140214 -78.555 0.232696
16200 0.272316 -0.036129 -0.00284348 -0.00859719 -95.7686 4.20242
16300 0.302502 -0.0414162 -0.00125215 -0.0176764 -241.585 2.34302
16400 0.328148 -0.0455551 0.0103671 -0.0938867 31.6527 0.485214
16500 0.348194 -0.0490341 -0.00838292 -0.156905 -41.5361 0.312508
16600 0.361038 -0.0501823 -0.0120805 -0.0246773 -29.886 2.03354
16700 0.368484 -0.0501671 0.00235559 -0.0101891 156.43 4.92359
16800 0.372902 -0.0523605 0.00518785 -0.0755669 71.8798 0.692903
16900 0.377151 -0.0548363 4.36397e-05 -0.161432 8642.4 0.339687
17000 0.380615 -0.0561295 -0.00164924 -0.047384 -230.782 1.18457
17100 0.38549 -0.0559006 0.000204383 -0.00247155 1886.12 22.6176
17200 0.38755 -0.0556831 -0.00297832 -0.0560111 -130.124 0.994144
17300 0.384644 -0.0544014 -0.0031623 -0.145982 -121.634 0.372658
