# step E_total KE PE <beta> norm
24300 0.70998 0.214392 0.495588 0.991759 0.991754
24400 0.710184 0.214386 0.495798 0.991724 0.991725
24500 0.709894 0.214383 0.495511 0.991691 0.991688
24600 0.709659 0.214492 0.495166 0.991657 0.991657
24700 0.710046 0.214612 0.495434 0.991623 0.991623
24800 0.710356 0.214615 0.495741 0.991589 0.99159
24900 0.71003 0.214613 0.495417 0.991555 0.991557
25000 0.70952 0.214796 0.494725 0.991522 0.991517
25100 0.709908 0.215058 0.49485 0.991486 0.99149
25200 0.710724 0.21508 0.495643 0.991453 0.991454
25300 0.710253 0.215057 0.495196 0.991421 0.991424
25400 0.709386 0.215263 0.494123 0.991385 0.991385
25500 0.709728 0.215656 0.494072 0.991352 0.991353
25600 0.71118 0.215684 0.495496 0.991317 0.991318
25700 0.71099 0.215651 0.495339 0.991281 0.991283
25800 0.710425 0.215693 0.494732 0.991246 0.991252
25900 0.710343 0.215895 0.494448 0.991214 0.991217
26000 0.711263 0.215961 0.495302 0.991182 0.99118
26100 0.711417 0.215949 0.495469 0.991149 0.991148
26200 0.710885 0.215918 0.494967 0.991112 0.99111
26300 0.710382 0.216075 0.494306 0.99108 0.991079
26400 0.711073 0.216329 0.494744 0.991046 0.991042
26500 0.711763 0.216352 0.495411 0.991012 0.991008
26600 0.711066 0.216334 0.494732 0.990978 0.990977
26700 0.710043 0.216501 0.493541 0.990943 0.990939
26800 0.710701 0.217116 0.493586 0.990908 0.990904
26900 0.712577 0.217336 0.495242 0.990874 0.990872
27000 0.711849 0.21733 0.494519 0.99084 0.990839
27100 0.710284 0.217382 0.492902 0.990808 0.990802
27200 0.71066 0.217996 0.492664 0.99077 0.990772
27300 0.713309 0.218416 0.494894 0.990735 0.990736
27400 0.713136 0.218409 0.494726 0.990704 0.990704
27500 0.711518 0.218379 0.493139 0.990669 0.990667
27600 0.710914 0.218811 0.492103 0.990635 0.990634
27700 0.713411 0.219149 0.494262 0.990603 0.990605
27800 0.714063 0.21914 0.494923 0.990569 0.990569
27900 0.712568 0.219028 0.49354 0.990536 0.990533
28000 0.710881 0.219249 0.491632 0.990501 0.990502
28100 0.712533 0.219754 0.492779 0.990468 0.990468
28200 0.714833 0.219824 0.495009 0.990432 0.990431
28300 0.713726 0.219707 0.494018 0.990399 0.990398
28400 0.711537 0.219679 0.491858 0.990365 0.990364
28500 0.711738 0.220106 0.491633 0.990331 0.990334
28600 0.715058 0.220251 0.494808 0.990297 0.990296
28700 0.71465 0.220159 0.494491 0.990261 0.990262
28800 0.712746 0.220053 0.492694 0.990228 0.990231
28900 0.711938 0.220438 0.4915 0.990194 0.990192
29000 0.71509 0.220647 0.494442 0.990158 0.990162
29100 0.715135 0.220596 0.494539 0.990125 0.990129
29200 0.712697 0.220487 0.49221 0.990089 0.990092
29300 0.710801 0.220754 0.490046 0.990057 0.990057
29400 0.714756 0.220993 0.493763 0.990025 0.990022
29500 0.715442 0.220972 0.49447 0.989987 0.989992
29600 0.712943 0.220892 0.49205 0.989959 0.989954
29700 0.71076 0.221168 0.489592 0.989924 0.989924
29800 0.714748 0.221611 0.493137 0.989889 0.989889
29900 0.716323 0.221651 0.494672 0.989856 0.989855
30000 0.714966 0.221568 0.493398 0.989823 0.989823
30100 0.713476 0.221653 0.491824 0.989791 0.989791
30200 0.714894 0.222064 0.49283 0.989751 0.989753
30300 0.716797 0.222196 0.494601 0.98972 0.989722
30400 0.716452 0.22218 0.494272 0.989687 0.989688
30500 0.715044 0.222175 0.49287 0.989653 0.989653
30600 0.714361 0.222626 0.491736 0.989617 0.989618
30700 0.717259 0.223129 0.49413 0.989582 0.989586
30800 0.717429 0.223131 0.494298 0.989549 0.98955
30900 0.715827 0.223084 0.492743 0.989518 0.989516
