# step x y dist
32000 76.0622 63.1455 12.0924
32100 76.3464 63.1037 12.3788
32200 76.6449 63.0591 12.6799
32300 76.909 63.0453 12.9443
32400 77.1224 63.0681 13.1555
32500 77.3386 63.1458 13.3659
32600 77.5656 63.2787 13.5847
32700 77.8277 63.4694 13.8379
32800 78.1807 63.6424 14.1852
32900 78.5644 63.7372 14.5667
33000 78.8045 63.728 14.807
33100 78.9113 63.6603 14.9151
33200 78.9994 63.5351 15.0066
33300 78.7378 63.3177 14.7536
33400 77.8498 63.0157 13.8848
33500 76.6218 62.7272 12.6858
33600 75.4131 62.5272 11.5077
33700 74.0135 62.323 10.1529
33800 72.2266 62.1247 8.43767
33900 70.3958 61.9531 6.71531
34000 68.715 61.8549 5.18001
34100 67.2209 61.7673 3.9191
34200 65.9289 61.7038 2.99888
34300 64.8803 61.7383 2.42694
34400 64.105 61.8772 2.12537
34500 63.5149 62.0257 2.03306
34600 63.0017 62.1314 2.11853
34700 62.5629 62.2184 2.28893
34800 62.2851 62.2938 2.41915
34900 62.0816 62.2961 2.56581
35000 61.9052 62.1878 2.76989
35100 61.8461 62.0334 2.91661
35200 61.913 61.8395 3.00387
35300 62.0325 61.6132 3.09325
35400 62.1292 61.3819 3.21786
35500 62.2512 61.2094 3.2933
35600 62.4472 61.0237 3.35703
35700 62.6691 60.8684 3.40265
35800 62.8691 60.8145 3.38024
35900 63.1235 60.8326 3.28646
36000 63.5236 60.9019 3.13454
36100 63.963 60.9769 3.02334
36200 64.3384 61.0293 2.98991
36300 64.5972 61.0709 2.98933
36400 64.7057 61.1484 2.93761
36500 64.6746 61.2754 2.80684
36600 64.569 61.3888 2.67243
36700 64.4136 61.4823 2.5514
36800 64.291 61.5573 2.46
36900 64.2603 61.6341 2.3802
37000 64.2962 61.7644 2.25511
37100 64.3803 61.9543 2.08073
37200 64.5948 62.1812 1.91363
37300 64.8777 62.4186 1.80866
37400 65.1441 62.6415 1.77612
37500 65.3817 62.8636 1.78903
37600 65.5764 63.0788 1.82586
37700 65.6297 63.2509 1.79358
37800 65.5524 63.3788 1.67208
37900 65.4106 63.4981 1.49726
38000 65.1972 63.6026 1.26141
38100 64.9004 63.6682 0.959566
38200 64.5319 63.7372 0.593287
38300 64.1304 63.8151 0.226265
38400 63.723 63.8769 0.303129
38500 63.3391 63.9221 0.66548
38600 62.9774 63.9908 1.02259
38700 62.665 64.092 1.33813
38800 62.4456 64.223 1.57036
38900 62.3416 64.3836 1.70221
39000 62.3334 64.5503 1.75514
39100 62.4397 64.7495 1.73094
39200 62.6452 64.9571 1.65878
39300 62.9055 65.1277 1.57152
39400 63.1919 65.2385 1.47883
39500 63.4759 65.3017 1.40328
39600 63.7428 65.3239 1.34868
39700 63.9758 65.3108 1.311
39800 64.1519 65.2886 1.29748
39900 64.2326 65.2933 1.31401
40000 64.2268 65.3445 1.36348
40100 64.1151 65.4403 1.44487
40200 63.9448 65.5547 1.55571
40300 63.7025 65.6793 1.70546
40400 63.3588 65.7986 1.90944
40500 62.9664 65.8996 2.16263
40600 62.6082 65.9818 2.42173
40700 62.3141 66.044 2.64957
40800 62.0709 66.102 2.85306
40900 61.9601 66.1606 2.97137
41000 62.0268 66.2036 2.95798
41100 62.2377 66.2295 2.84187
41200 62.5496 66.239 2.66773
41300 62.9882 66.2336 2.45209
41400 63.5407 66.206 2.25331
41500 64.1271 66.1576 2.16132
41600 64.6953 66.0894 2.20203
41700 65.1912 66.022 2.34681
41800 65.5887 65.9504 2.51554
41900 65.8217 65.8745 2.61392
42000 65.9117 65.806 2.62983
42100 65.9019 65.7612 2.59214
42200 65.8559 65.7353 2.5408
42300 65.8229 65.7327 2.51505
42400 65.8281 65.7528 2.53267
42500 65.8837 65.7808 2.59218
42600 66.0292 65.8089 2.71846
42700 66.269 65.8335 2.91717
42800 66.5844 65.864 3.18648
42900 66.9208 65.8924 3.48025
43000 67.3173 65.9077 3.82672
43100 67.7345 65.9059 4.19273
43200 68.141 65.8986 4.55553
43300 68.5455 65.9162 4.93284
43400 68.9624 65.9302 5.32454
43500 69.3606 65.927 5.69642
43600 69.7554 65.9025 6.06167
43700 70.1884 65.8892 6.47033
43800 70.6089 65.8815 6.87149
43900 71.0079 65.8562 7.24955
44000 71.3868 65.8011 7.60321
44100 71.7256 65.7678 7.92528
44200 71.9886 65.7424 8.17644
44300 72.2388 65.6851 8.40935
44400 72.4818 65.5525 8.62272
44500 72.6661 65.4225 8.78207
44600 72.8339 65.2979 8.9287
44700 73.0694 65.1703 9.14455
44800 73.3882 65.0886 9.4511
44900 73.7356 65.0717 9.7944
45000 74.0868 65.0863 10.1451
45100 74.4728 65.1656 10.5374
45200 74.9086 65.3482 10.9916
45300 75.3912 65.6324 11.5075
45400 75.8227 65.8991 11.9743
45500 76.1849 66.0805 12.3612
45600 76.4617 66.1622 12.6479
45700 76.6561 66.1586 12.8389
45800 76.6769 66.0586 12.843
45900 76.4918 65.8787 12.6323
46000 76.1335 65.6702 12.2479
46100 75.509 65.4205 11.5963
46200 74.5091 65.1129 10.5679
46300 73.1347 64.8425 9.1735
46400 71.4061 64.6715 7.43645
46500 69.495 64.5647 5.5239
46600 67.5899 64.4745 3.62115
46700 65.7237 64.4096 1.77168
46800 63.8452 64.3332 0.367364
46900 62.1734 64.199 1.83737
47000 60.9642 64.0816 3.03693
47100 60.1825 63.9468 3.81791
47200 59.767 63.6958 4.2439
47300 59.5419 63.3437 4.50612
47400 59.4316 63.0109 4.67426
47500 59.5176 62.7263 4.65983
47600 59.7515 62.4441 4.52444
47700 59.8677 62.1511 4.52704
47800 59.84 61.9092 4.65584
47900 59.8287 61.7185 4.75447
48000 59.8596 61.5249 4.82375
48100 59.8339 61.3606 4.93184
48200 59.7976 61.2756 5.00826
48300 59.8489 61.3467 4.92664
48400 59.9439 61.5197 4.75436
48500 60.0248 61.7446 4.57045
48600 60.1303 61.9577 4.37557
48700 60.0989 62.2087 4.29268
48800 59.9185 62.5588 4.32846
48900 59.7555 62.8973 4.38545
49000 59.7001 63.0305 4.40783
49100 59.6341 62.947 4.4911
49200 59.6583 62.7633 4.51439
49300 59.7848 62.5375 4.46171
49400 59.9523 62.253 4.40859
49500 60.1389 61.9832 4.35613
49600 60.3058 61.783 4.30834
49700 60.3786 61.6602 4.31156
49800 60.4163 61.5749 4.32708
49900 60.5539 61.5084 4.25244
