k,omega,v_group,v_phase
1.232846739442066547e-01,1.007570896180278286e+00,1.223583118682579629e-01,8.172718180982183611e+00
1.353047774579807516e-01,1.009112175530031852e+00,1.340829897200601084e-01,7.458067589988936597e+00
1.484968262254464932e-01,1.010965532250744259e+00,1.468861415036013807e-01,6.807994203969759184e+00
1.629750834620644351e-01,1.013193405934655011e+00,1.608528860407677785e-01,6.216860788848714847e+00
1.788649529057435017e-01,1.015870400876988766e+00,1.760706412464931869e-01,5.679538581335842551e+00
1.963040650040271395e-01,1.019085514536000714e+00,1.926276668679823556e-01,5.191362259946549429e+00
2.154434690031884481e-01,1.022944714212908002e+00,2.106110584568186839e-01,4.748088762893847736e+00
2.364489412645408295e-01,1.027573891175287857e+00,2.301040765001359789e-01,4.345859557161774411e+00
2.595024211399737379e-01,1.033122212798422090e+00,2.511826944820579888e-01,3.981165987816211782e+00
2.848035868435802032e-01,1.039765878974189484e+00,2.739112646440766685e-01,3.650817359773104176e+00
3.125715849688237014e-01,1.047712267624046900e+00,2.983372387894808186e-01,3.351911427676789845e+00
3.430469286314918875e-01,1.057204424528908282e+00,3.244849535929194007e-01,3.081806995755321577e+00
3.764935806792469308e-01,1.068525814518620054e+00,3.523486054933174239e-01,2.838098361706062889e+00
4.132012400115338546e-01,1.082005205508304924e+00,3.818847061991905711e-01,2.618591380505301824e+00
4.534878508128584174e-01,1.098021507455507528e+00,4.130045247144068510e-01,2.421280979164819769e+00
4.977023564332111460e-01,1.117008341776896119e+00,4.455672691230617155e-01,2.244330024438597082e+00
5.462277217684342601e-01,1.139458083488960050e+00,4.793750026292445954e-01,2.086049532235234594e+00
5.994842503189411476e-01,1.165925111823423510e+00,5.141704593542810731e-01,1.944880305367690854e+00
6.579332246575682053e-01,1.197028039817073841e+00,5.496389414220501646e-01,1.819376184323395540e+00
7.220809018385467848e-01,1.233450780858307727e+00,5.854152537291195113e-01,1.708189176195800130e+00
7.924828983539177196e-01,1.275942453319673042e+00,6.210961131452924500e-01,1.610056767117573173e+00
8.697490026177834288e-01,1.325316312264596341e+00,6.562576756726284932e-01,1.523791701140949417e+00
9.545484566618341882e-01,1.382448102503486265e+00,6.904768829536781505e-01,1.448274409596833179e+00
1.047615752789665011e+00,1.448274409596833401e+00,7.233544595193789339e-01,1.382448102503486043e+00
1.149756995397736903e+00,1.523791701140950305e+00,7.545368533880634221e-01,1.325316312264595675e+00
1.261856883066021062e+00,1.610056767117574061e+00,7.837344054179390396e-01,1.275942453319672598e+00
1.384886371393873050e+00,1.708189176195800796e+00,8.107336064955434907e-01,1.233450780858307505e+00
1.519911082952934755e+00,1.819376184323396872e+00,8.354023186898923425e-01,1.197028039817073397e+00
1.668100537200059019e+00,1.944880305367691520e+00,8.576880194612770403e-01,1.165925111823423510e+00
1.830738280295369780e+00,2.086049532235235926e+00,8.776101679300509772e-01,1.139458083488959605e+00
2.009233002565047776e+00,2.244330024438597970e+00,8.952484619848375402e-01,1.117008341776896119e+00
2.205130739903045534e+00,2.421280979164820657e+00,9.107289731667852495e-01,1.098021507455507528e+00
2.420128264794383366e+00,2.618591380505304045e+00,9.242099713653592064e-01,1.082005205508304924e+00
2.656087782946686904e+00,2.838098361706064221e+00,9.358688263891018488e-01,1.068525814518620054e+00
2.915053062825178731e+00,3.081806995755323797e+00,9.458908578117251054e-01,1.057204424528908060e+00
3.199267137797384475e+00,3.351911427676791622e+00,9.544605240403966073e-01,1.047712267624046900e+00
3.511191734215134641e+00,3.650817359773107729e+00,9.617549683266952698e-01,1.039765878974189262e+00
3.853528593710531247e+00,3.981165987816215779e+00,9.679396954318658652e-01,1.033122212798422090e+00
4.229242874389498752e+00,4.345859557161776188e+00,9.731660259061758467e-01,1.027573891175287857e+00
4.641588833612781961e+00,4.748088762893852177e+00,9.775699371685374617e-01,1.022944714212908002e+00
5.094138014816380178e+00,5.191362259946552093e+00,9.812719204975741683e-01,1.019085514536000714e+00
5.590810182512228721e+00,5.679538581335848768e+00,9.843775339223506116e-01,1.015870400876988766e+00
6.135907273413176100e+00,6.216860788848719288e+00,9.869783934070470721e-01,1.013193405934655233e+00
6.734150657750828550e+00,6.807994203969765401e+00,9.891534064209575039e-01,1.010965532250744259e+00
7.390722033525782386e+00,7.458067589988942814e+00,9.909701064450583408e-01,1.009112175530031852e+00
8.111308307896871739e+00,8.172718180982188940e+00,9.924859915972366053e-01,1.007570896180278508e+00
8.902150854450392004e+00,8.958140980995546343e+00,9.937498051589123138e-01,1.006289505475765234e+00
9.770099572992256398e+00,9.821142788198503837e+00,9.948027214035027876e-01,1.005224431422106157e+00
1.072267222010324161e+01,1.076920143463635782e+01,9.956794183101203011e-01,1.004339330120143092e+00
1.176811952434999142e+01,1.181053077297491605e+01,9.964090311062081540e-01,1.003603910424020640e+00
1.291549665014884063e+01,1.295415198768355935e+01,9.970159885748236528e-01,1.002992942399491438e+00
1.417474162926806258e+01,1.420997185980693622e+01,9.975207388947389120e-01,1.002485423118127938e+00
1.555676143930472222e+01,1.558886867221089645e+01,9.979403744055262981e-01,1.002063876407145671e+00
1.707352647470692020e+01,1.710278650637135556e+01,9.982891658237367238e-01,1.001713766145955864e+00
