# Time series data
# step mean_R std_R mean_psi_density max_psi_density
455 0.668396 0.239926 0.000287425 0.0330822
456 0.668908 0.239916 0.000287425 0.0330822
457 0.66942 0.239903 0.000287425 0.0330822
458 0.669927 0.239895 0.000287425 0.0330822
459 0.670435 0.239882 0.000289261 0.0335541
460 0.670939 0.23987 0.000289261 0.0335541
461 0.671444 0.239857 0.000289261 0.0335541
462 0.671946 0.23984 0.000289261 0.0335541
463 0.672445 0.23983 0.000289261 0.0335541
464 0.672945 0.239812 0.000289261 0.0335541
465 0.673443 0.239794 0.000289261 0.0335541
466 0.673939 0.239774 0.000289261 0.0335541
467 0.674433 0.239757 0.000289261 0.0335541
468 0.674925 0.239741 0.000289261 0.0335541
469 0.675414 0.239726 0.000291146 0.0338023
470 0.675904 0.239703 0.000291146 0.0338023
471 0.676392 0.239682 0.000291146 0.0338023
472 0.676878 0.23966 0.000291146 0.0338023
473 0.677362 0.23964 0.000291146 0.0338023
474 0.677845 0.239619 0.000291146 0.0338023
475 0.678326 0.239596 0.000291146 0.0338023
476 0.678805 0.239574 0.000291146 0.0338023
477 0.679283 0.239552 0.000291146 0.0338023
478 0.679761 0.239525 0.000291146 0.0338023
479 0.680236 0.239498 0.000293078 0.033813
480 0.680709 0.239473 0.000293078 0.033813
481 0.681181 0.239447 0.000293078 0.033813
482 0.681651 0.239419 0.000293078 0.033813
483 0.682122 0.239387 0.000293078 0.033813
484 0.682588 0.23936 0.000293078 0.033813
485 0.683054 0.239333 0.000293078 0.033813
486 0.683519 0.239301 0.000293078 0.033813
487 0.683981 0.239274 0.000293078 0.033813
488 0.684444 0.239239 0.000293078 0.033813
489 0.684903 0.239209 0.00029506 0.0335782
490 0.685362 0.239177 0.00029506 0.0335782
491 0.685819 0.239143 0.00029506 0.0335782
492 0.686276 0.239108 0.00029506 0.0335782
493 0.686728 0.23908 0.00029506 0.0335782
494 0.687182 0.239045 0.00029506 0.0335782
495 0.687634 0.239006 0.00029506 0.0335782
496 0.688083 0.238973 0.00029506 0.0335782
497 0.688532 0.238935 0.00029506 0.0335782
498 0.688979 0.238899 0.00029506 0.0335782
499 0.689425 0.23886 0.000297092 0.0330963
500 0.68987 0.238824 0.000297092 0.0330963
501 0.690313 0.238783 0.000297092 0.0330963
502 0.690756 0.238741 0.000297092 0.0330963
503 0.691197 0.238698 0.000297092 0.0330963
504 0.691636 0.238657 0.000297092 0.0330963
505 0.692074 0.238615 0.000297092 0.0330963
506 0.692511 0.238575 0.000297092 0.0330963
507 0.692946 0.238531 0.000297092 0.0330963
508 0.69338 0.238489 0.000297092 0.0330963
509 0.693813 0.238442 0.000299176 0.0323727
510 0.694243 0.238399 0.000299176 0.0323727
511 0.694672 0.23836 0.000299176 0.0323727
512 0.695102 0.23831 0.000299176 0.0323727
513 0.69553 0.238257 0.000299176 0.0323727
514 0.695954 0.23822 0.000299176 0.0323727
515 0.696379 0.238172 0.000299176 0.0323727
516 0.696804 0.238121 0.000299176 0.0323727
517 0.697226 0.238071 0.000299176 0.0323727
518 0.697646 0.238026 0.000299176 0.0323727
519 0.698065 0.237978 0.000301313 0.0314197
520 0.698485 0.237927 0.000301313 0.0314197
521 0.698901 0.237879 0.000301313 0.0314197
522 0.699317 0.237824 0.000301313 0.0314197
523 0.699732 0.237775 0.000301313 0.0314197
524 0.700144 0.237725 0.000301313 0.0314197
525 0.700557 0.237675 0.000301313 0.0314197
526 0.700969 0.237618 0.000301313 0.0314197
527 0.701378 0.237568 0.000301313 0.0314197
528 0.701787 0.237516 0.000301313 0.0314197
529 0.702193 0.237466 0.000303504 0.0303756
530 0.702599 0.237413 0.000303504 0.0303756
531 0.703004 0.23736 0.000303504 0.0303756
532 0.703407 0.237303 0.000303504 0.0303756
533 0.703809 0.23725 0.000303504 0.0303756
534 0.70421 0.237196 0.000303504 0.0303756
535 0.704609 0.237142 0.000303504 0.0303756
536 0.705008 0.237087 0.000303504 0.0303756
537 0.705405 0.237032 0.000303504 0.0303756
538 0.705802 0.236977 0.000303504 0.0303756
539 0.706198 0.236919 0.00030575 0.0307954
540 0.706591 0.236864 0.00030575 0.0307954
541 0.706986 0.236804 0.00030575 0.0307954
542 0.707376 0.236749 0.00030575 0.0307954
543 0.707766 0.236692 0.00030575 0.0307954
544 0.708157 0.236633 0.00030575 0.0307954
545 0.708545 0.236573 0.00030575 0.0307954
546 0.708931 0.236518 0.00030575 0.0307954
547 0.709317 0.236459 0.00030575 0.0307954
548 0.709703 0.236399 0.00030575 0.0307954
549 0.710086 0.23634 0.000308052 0.031097
550 0.710468 0.236284 0.000308052 0.031097
551 0.710851 0.236221 0.000308052 0.031097
552 0.711232 0.236158 0.000308052 0.031097
553 0.711613 0.236096 0.000308052 0.031097
554 0.711991 0.236036 0.000308052 0.031097
555 0.712367 0.235979 0.000308052 0.031097
556 0.712743 0.235916 0.000308052 0.031097
557 0.713119 0.235853 0.000308052 0.031097
558 0.713494 0.235789 0.000308052 0.031097
559 0.713865 0.235732 0.000310414 0.0312625
560 0.714239 0.235669 0.000310414 0.0312625
561 0.714611 0.235601 0.000310414 0.0312625
562 0.714981 0.235538 0.000310414 0.0312625
563 0.715349 0.235476 0.000310414 0.0312625
564 0.715717 0.235412 0.000310414 0.0312625
565 0.716084 0.23535 0.000310414 0.0312625
566 0.716449 0.235291 0.000310414 0.0312625
567 0.716815 0.235223 0.000310414 0.0312625
568 0.717178 0.23516 0.000310414 0.0312625
569 0.717542 0.235094 0.000312835 0.0312753
570 0.717904 0.235026 0.000312835 0.0312753
571 0.718264 0.234967 0.000312835 0.0312753
572 0.718624 0.234902 0.000312835 0.0312753
573 0.718985 0.23483 0.000312835 0.0312753
574 0.71934 0.234774 0.000312835 0.0312753
575 0.719698 0.234705 0.000312835 0.0312753
576 0.720053 0.234642 0.000312835 0.0312753
577 0.720408 0.234576 0.000312835 0.0312753
578 0.720763 0.234508 0.000312835 0.0312753
579 0.721115 0.234444 0.000315319 0.0311214
580 0.721467 0.234378 0.000315319 0.0311214
581 0.721818 0.234313 0.000315319 0.0311214
582 0.722168 0.234246 0.000315319 0.0311214
