x,y,R
28,13,0.999114
29,13,0.999096
30,13,0.999084
31,13,0.999076
32,13,0.999073
33,13,0.999076
34,13,0.999084
35,13,0.999096
36,13,0.999114
37,13,0.999135
38,13,0.999159
39,13,0.999186
40,13,0.999215
41,13,0.999246
42,13,0.999277
43,13,0.999309
44,13,0.99934
45,13,0.999371
46,13,0.999402
47,13,0.999432
48,13,0.99946
49,13,0.999488
50,13,0.999514
51,13,0.999539
52,13,0.999562
53,13,0.999585
54,13,0.999606
55,13,0.999626
56,13,0.999644
57,13,0.999662
58,13,0.999679
59,13,0.999694
60,13,0.999709
61,13,0.999723
62,13,0.999736
63,13,0.592347
0,14,0.576445
1,14,0.999741
2,14,0.999728
3,14,0.999714
4,14,0.999699
5,14,0.999684
6,14,0.999667
7,14,0.999649
8,14,0.99963
9,14,0.999609
10,14,0.999588
11,14,0.999565
12,14,0.99954
13,14,0.999514
14,14,0.999486
15,14,0.999457
16,14,0.999426
17,14,0.999393
18,14,0.99936
19,14,0.999324
20,14,0.999288
21,14,0.999251
22,14,0.999214
23,14,0.999177
24,14,0.99914
25,14,0.999105
26,14,0.999073
27,14,0.999043
28,14,0.999017
29,14,0.998996
30,14,0.99898
31,14,0.998971
32,14,0.998967
33,14,0.998971
34,14,0.99898
35,14,0.998996
36,14,0.999017
37,14,0.999043
38,14,0.999073
39,14,0.999105
40,14,0.99914
41,14,0.999177
42,14,0.999214
43,14,0.999251
44,14,0.999288
45,14,0.999324
46,14,0.99936
47,14,0.999393
48,14,0.999426
49,14,0.999457
50,14,0.999486
51,14,0.999514
52,14,0.99954
53,14,0.999565
54,14,0.999588
55,14,0.999609
56,14,0.99963
57,14,0.999649
58,14,0.999667
59,14,0.999683
60,14,0.999699
61,14,0.999714
62,14,0.999728
63,14,0.576552
0,15,0.509706
1,15,0.999733
2,15,0.99972
3,15,0.999705
4,15,0.999689
5,15,0.999673
6,15,0.999655
7,15,0.999635
8,15,0.999615
9,15,0.999593
10,15,0.999569
11,15,0.999544
12,15,0.999517
13,15,0.999488
14,15,0.999457
15,15,0.813548
16,15,0.801771
17,15,0.999352
18,15,0.999313
19,15,0.999273
20,15,0.999231
21,15,0.999188
22,15,0.999143
23,15,0.999099
24,15,0.999055
25,15,0.999013
26,15,0.998973
27,15,0.998936
28,15,0.998904
29,15,0.998878
30,15,0.998858
31,15,0.887563
32,15,0.89382
33,15,0.998846
34,15,0.998858
35,15,0.998878
36,15,0.998904
37,15,0.998936
38,15,0.998973
39,15,0.999013
40,15,0.999055
41,15,0.999099
42,15,0.999143
43,15,0.999188
44,15,0.999231
45,15,0.999273
46,15,0.999313
47,15,0.964999
48,15,0.969414
49,15,0.999424
50,15,0.999457
51,15,0.999488
52,15,0.999517
53,15,0.999544
54,15,0.999569
55,15,0.999593
56,15,0.999615
57,15,0.999635
58,15,0.999655
59,15,0.999673
60,15,0.999689
61,15,0.999705
62,15,0.99972
63,15,0.658903
0,16,0.455182
1,16,0.999726
2,16,0.999712
3,16,0.999696
4,16,0.99968
5,16,0.999662
6,16,0.999642
7,16,0.999622
8,16,0.9996
9,16,0.999575
10,16,0.99955
11,16,0.999522
12,16,0.999492
13,16,0.99946
14,16,0.999426
15,16,0.810549
16,16,0.780035
17,16,0.999308
18,16,0.999263
19,16,0.999217
20,16,0.999168
21,16,0.999117
22,16,0.999064
23,16,0.999011
24,16,0.998958
25,16,0.998906
26,16,0.998857
27,16,0.998811
28,16,0.998771
29,16,0.998737
30,16,0.998712
31,16,0.886985
32,16,0.797059
33,16,0.998697
34,16,0.998712
35,16,0.998737
36,16,0.998771
37,16,0.998811
38,16,0.998857
39,16,0.998906
40,16,0.998958
41,16,0.999011
42,16,0.999064
43,16,0.999117
44,16,0.999168
45,16,0.999217
46,16,0.999263
47,16,0.967574
48,16,0.872471
49,16,0.999389
50,16,0.999426
51,16,0.99946
52,16,0.999492
53,16,0.999522
54,16,0.99955
55,16,0.999576
56,16,0.9996
57,16,0.999622
58,16,0.999642
59,16,0.999662
60,16,0.99968
61,16,0.999696
62,16,0.999712
63,16,0.645402
0,17,0.526609
1,17,0.999719
2,17,0.999704
3,17,0.999687
4,17,0.99967
5,17,0.999651
6,17,0.99963
7,17,0.999608
8,17,0.999584
9,17,0.999558
10,17,0.99953
11,17,0.9995
12,17,0.999467
13,17,0.999432
14,17,0.999393
15,17,0.999352
16,17,0.999308
17,17,0.99926
18,17,0.999209
19,17,0.999155
20,17,0.999098
21,17,0.999038
22,17,0.998975
23,17,0.998911
24,17,0.998847
25,17,0.998783
26,17,0.998721
27,17,0.998664
28,17,0.998612
29,17,0.99857
30,17,0.998537
31,17,0.998517
32,17,0.99851
33,17,0.998517
34,17,0.998537
35,17,0.99857
36,17,0.998612
37,17,0.998664
38,17,0.998721
39,17,0.998783
40,17,0.998847
41,17,0.998911
42,17,0.998975
43,17,0.999038
44,17,0.999098
45,17,0.999155
46,17,0.999209
47,17,0.99926
48,17,0.999308
49,17,0.999352
50,17,0.999393
51,17,0.999432
52,17,0.999467
53,17,0.9995
54,17,0.99953
55,17,0.999558
56,17,0.999584
57,17,0.999608
58,17,0.99963
59,17,0.999651
60,17,0.99967
61,17,0.999687
62,17,0.999704
63,17,0.526711
0,18,0.509373
1,18,0.999712
2,18,0.999696
3,18,0.999678
4,18,0.99966
5,18,0.99964
6,18,0.999618
7,18,0.999594
8,18,0.999568
9,18,0.99954
10,18,0.99951
11,18,0.999477
12,18,0.999441
13,18,0.999402
14,18,0.99936
15,18,0.999313
16,18,0.999263
17,18,0.999209
18,18,0.999151
19,18,0.999088
20,18,0.999021
21,18,0.99895
22,18,0.998875
23,18,0.998798
24,18,0.998719
25,18,0.998639
26,18,0.998562
27,18,0.998488
28,18,0.998422
29,18,0.998366
30,18,0.998324
31,18,0.998298
32,18,0.998288
33,18,0.998298
34,18,0.998324
35,18,0.998367
36,18,0.998422
37,18,0.998488
38,18,0.998562
39,18,0.998639
40,18,0.998719
41,18,0.998798
42,18,0.998875
43,18,0.99895
44,18,0.999021
45,18,0.999088
46,18,0.999151
47,18,0.999209
48,18,0.999263
49,18,0.999313
50,18,0.99936
51,18,0.999402
52,18,0.999441
53,18,0.999477
54,18,0.99951
55,18,0.99954
56,18,0.999568
57,18,0.999594
58,18,0.999618
59,18,0.99964
60,18,0.99966
61,18,0.999678
62,18,0.999696
63,18,0.50947
