# Field snapshot at t = 5
# Grid: 64 x 64
# Columns: x  y  theta  R  mass  |psi|^2  psi_0_real  psi_0_imag  psi_1_real  psi_1_imag  psi_2_real  psi_2_imag  psi_3_real  psi_3_imag
12  1  0.003409  0.999002  2.497506  0.000100  -0.000276  0.006253  -0.004944  0.001173  -0.002971  0.000549  -0.002952  -0.004120
13  1  0.091103  0.998960  2.497399  0.000191  0.011264  -0.002237  0.000226  0.004747  0.001555  -0.004478  0.000612  -0.003665
14  1  0.004685  0.998891  2.497228  0.000059  0.002352  0.005467  -0.002223  -0.001549  -0.002363  0.002651  0.001387  0.001374
15  1  0.052938  0.999601  2.499002  0.000137  -0.002620  0.003386  -0.005743  0.002852  -0.004785  -0.001224  -0.002712  0.006787
16  1  0.000004  0.999352  2.498381  0.000160  0.000079  -0.004331  -0.008345  -0.002894  -0.001176  -0.005113  -0.002696  -0.005344
17  1  0.014097  0.999375  2.498438  0.000321  0.007884  -0.003870  -0.007881  0.002393  0.000276  -0.008275  0.010342  -0.000239
18  1  -0.037588  0.999458  2.498644  0.000415  -0.008459  -0.005744  0.009493  0.000329  0.007623  -0.010200  -0.004685  0.006024
19  1  0.010772  0.999757  2.499393  0.000389  -0.012660  -0.006428  -0.008163  0.003915  -0.007377  0.001553  0.000812  0.006911
20  1  -0.021177  0.999702  2.499254  0.000190  0.004635  0.000034  -0.000892  -0.000519  0.009166  -0.007729  -0.004864  -0.000523
21  1  -0.031405  0.999306  2.498265  0.000201  -0.008230  -0.003556  0.002994  0.000978  0.006523  -0.004985  0.003209  0.005733
22  1  -0.064813  0.999341  2.498354  0.000198  0.000282  0.006957  -0.000991  0.000867  0.006044  0.009108  -0.004026  -0.003415
23  1  -0.023368  0.999402  2.498506  0.000336  -0.011175  0.011247  0.003076  0.004561  0.001564  0.000121  0.001770  0.006963
24  1  0.043805  0.999793  2.499482  0.000263  -0.004680  -0.002252  -0.005033  -0.001686  -0.009446  -0.001633  0.007988  0.007224
25  1  -0.003089  0.999736  2.499341  0.000215  -0.005967  -0.000216  -0.005336  -0.003911  0.002284  0.006617  -0.000258  -0.009323
26  1  0.010841  0.999801  2.499502  0.000381  -0.001765  0.010418  -0.000577  0.010271  -0.010937  -0.003147  -0.000466  -0.005802
27  1  0.020694  0.999640  2.499099  0.000554  0.003505  -0.004332  -0.000906  0.009088  -0.012048  -0.014287  -0.007693  0.005548
28  1  0.011805  0.999657  2.499141  0.000305  -0.002435  -0.007814  0.008065  -0.002066  -0.007963  0.003791  0.003368  0.008919
29  1  -0.029785  0.999309  2.498272  0.000285  0.007080  0.001157  0.000524  0.006306  -0.007705  0.007642  0.008715  0.000083
30  1  0.083133  0.998686  2.496714  0.000095  -0.000480  0.000126  -0.001937  -0.001050  -0.004517  0.002644  -0.003823  0.006946
31  1  0.070185  0.998629  2.496572  0.000368  0.010278  0.000893  0.003620  -0.002140  -0.001646  -0.011610  -0.010290  -0.000774
32  1  0.055120  0.998840  2.497100  0.000460  0.002787  -0.000328  0.010498  0.003023  -0.003615  0.003467  0.017232  0.003244
33  1  -0.010183  0.999500  2.498751  0.000141  0.000531  0.002817  -0.006806  0.003419  0.006334  -0.002183  0.003228  -0.004423
34  1  -0.049424  0.999721  2.499303  0.000061  -0.003355  0.005983  0.001576  -0.001265  -0.000370  0.002439  -0.001906  -0.000483
35  1  0.014509  0.999778  2.499444  0.000406  0.007820  -0.009237  -0.014071  -0.004222  0.000160  0.003787  -0.004798  0.002465
36  1  -0.019909  0.999856  2.499639  0.000290  -0.009451  0.000820  -0.007264  0.004239  0.007853  -0.008114  0.000462  -0.001168
37  1  -0.017699  0.999830  2.499576  0.000154  0.008169  -0.000138  0.004435  0.001229  0.003841  0.006777  -0.001256  -0.001990
38  1  -0.031221  0.999749  2.499371  0.000184  0.008615  -0.001167  -0.007613  0.001953  -0.001914  0.004044  -0.003529  0.003715
39  1  0.027296  0.999630  2.499076  0.000217  -0.007925  -0.001770  -0.003556  -0.006062  -0.007232  -0.006863  0.001539  0.000303
40  1  0.032880  0.999447  2.498616  0.000333  -0.004443  0.005607  -0.001477  -0.005176  -0.001533  0.013495  0.004981  -0.006621
