# Timeseries for σ = 1.000000e-06
# step  t  R_global  L
129  1.290000  1.000000  16384.000000
130  1.300000  1.000000  16384.000000
131  1.310000  1.000000  16384.000000
132  1.320000  1.000000  16384.000000
133  1.330000  1.000000  16384.000000
134  1.340000  1.000000  16384.000000
135  1.350000  1.000000  16384.000000
136  1.360000  1.000000  16384.000000
137  1.370000  1.000000  16384.000000
138  1.380000  1.000000  16384.000000
139  1.390000  1.000000  16384.000000
140  1.400000  1.000000  16384.000000
141  1.410000  1.000000  16384.000000
142  1.420000  1.000000  16384.000000
143  1.430000  1.000000  16384.000000
144  1.440000  1.000000  16384.000000
145  1.450000  1.000000  16384.000000
146  1.460000  1.000000  16384.000000
147  1.470000  1.000000  16384.000000
148  1.480000  1.000000  16384.000000
149  1.490000  1.000000  16384.000000
150  1.500000  1.000000  16384.000000
151  1.510000  1.000000  16384.000000
152  1.520000  1.000000  16384.000000
153  1.530000  1.000000  16384.000000
154  1.540000  1.000000  16384.000000
155  1.550000  1.000000  16384.000000
156  1.560000  1.000000  16384.000000
157  1.570000  1.000000  16384.000000
158  1.580000  1.000000  16384.000000
159  1.590000  1.000000  16384.000000
160  1.600000  1.000000  16384.000000
161  1.610000  1.000000  16384.000000
162  1.620000  1.000000  16384.000000
163  1.630000  1.000000  16384.000000
164  1.640000  1.000000  16384.000000
165  1.650000  1.000000  16384.000000
166  1.660000  1.000000  16384.000000
167  1.670000  1.000000  16384.000000
168  1.680000  1.000000  16384.000000
169  1.690000  1.000000  16384.000000
170  1.700000  1.000000  16384.000000
171  1.710000  1.000000  16384.000000
172  1.720000  1.000000  16384.000000
173  1.730000  1.000000  16384.000000
174  1.740000  1.000000  16384.000000
175  1.750000  1.000000  16384.000000
