# Time series data
# step mean_R std_R mean_psi_density max_psi_density
219 0.502887 0.22034 1.52588e-05 0.0150121
220 0.5038 0.220526 1.52588e-05 0.0150121
221 0.504707 0.220729 1.52588e-05 0.0150121
222 0.505617 0.220911 1.52588e-05 0.0150121
223 0.506527 0.221105 1.52588e-05 0.0150121
224 0.507432 0.221296 1.52588e-05 0.0150121
225 0.50834 0.221474 1.52588e-05 0.0150121
226 0.509247 0.221655 1.52588e-05 0.0150121
227 0.510147 0.221848 1.52588e-05 0.0150121
228 0.511049 0.22203 1.52588e-05 0.0150121
229 0.511953 0.222204 1.52588e-05 0.0150706
230 0.512852 0.22239 1.52588e-05 0.0150706
231 0.513752 0.222565 1.52588e-05 0.0150706
232 0.51465 0.222746 1.52588e-05 0.0150706
233 0.515545 0.222919 1.52588e-05 0.0150706
234 0.516443 0.223093 1.52588e-05 0.0150706
235 0.517339 0.223264 1.52588e-05 0.0150706
236 0.518232 0.223436 1.52588e-05 0.0150706
237 0.519125 0.223608 1.52588e-05 0.0150706
238 0.520014 0.223782 1.52588e-05 0.0150706
239 0.520904 0.223948 1.52588e-05 0.015084
240 0.52179 0.224121 1.52588e-05 0.015084
241 0.522681 0.224278 1.52588e-05 0.015084
242 0.523567 0.22444 1.52588e-05 0.015084
243 0.524452 0.224604 1.52588e-05 0.015084
244 0.525339 0.224747 1.52588e-05 0.015084
245 0.526219 0.224924 1.52588e-05 0.015084
246 0.527099 0.225083 1.52588e-05 0.015084
247 0.527979 0.225242 1.52588e-05 0.015084
248 0.52886 0.225387 1.52588e-05 0.015084
249 0.529735 0.225553 1.52588e-05 0.0150477
250 0.530611 0.225704 1.52588e-05 0.0150477
251 0.531489 0.225843 1.52588e-05 0.0150477
252 0.532357 0.226014 1.52588e-05 0.0150477
253 0.53323 0.226157 1.52588e-05 0.0150477
254 0.534105 0.226292 1.52588e-05 0.0150477
255 0.534973 0.226446 1.52588e-05 0.0150477
256 0.535842 0.226586 1.52588e-05 0.0150477
257 0.536709 0.22674 1.52588e-05 0.0150477
258 0.537574 0.226873 1.52588e-05 0.0150477
259 0.53844 0.227008 1.52588e-05 0.0149584
260 0.539305 0.227149 1.52588e-05 0.0149584
261 0.540161 0.227294 1.52588e-05 0.0149584
262 0.541019 0.227437 1.52588e-05 0.0149584
263 0.541882 0.227567 1.52588e-05 0.0149584
264 0.542736 0.227711 1.52588e-05 0.0149584
265 0.543592 0.227835 1.52588e-05 0.0149584
266 0.544451 0.22796 1.52588e-05 0.0149584
267 0.545305 0.228088 1.52588e-05 0.0149584
268 0.546157 0.228215 1.52588e-05 0.0149584
269 0.547005 0.228347 1.52588e-05 0.014814
270 0.547852 0.228482 1.52588e-05 0.014814
271 0.548698 0.228608 1.52588e-05 0.014814
272 0.549544 0.228734 1.52588e-05 0.014814
273 0.550388 0.228859 1.52588e-05 0.014814
274 0.551233 0.228977 1.52588e-05 0.014814
275 0.552072 0.229099 1.52588e-05 0.014814
276 0.552916 0.229211 1.52588e-05 0.014814
277 0.553753 0.229327 1.52588e-05 0.014814
278 0.554586 0.229455 1.52588e-05 0.014814
279 0.555423 0.229573 1.52588e-05 0.0146136
280 0.556262 0.229675 1.52588e-05 0.0146136
281 0.557095 0.229784 1.52588e-05 0.0146136
282 0.557922 0.229906 1.52588e-05 0.0146136
283 0.558751 0.230017 1.52588e-05 0.0146136
284 0.559579 0.230131 1.52588e-05 0.0146136
285 0.560409 0.230231 1.52588e-05 0.0146136
286 0.561234 0.230338 1.52588e-05 0.0146136
287 0.562058 0.230448 1.52588e-05 0.0146136
288 0.562878 0.230552 1.52588e-05 0.0146136
289 0.563699 0.230656 1.52588e-05 0.0145728
290 0.564519 0.230748 1.52588e-05 0.0145728
291 0.565331 0.230865 1.52588e-05 0.0145728
292 0.566151 0.230958 1.52588e-05 0.0145728
293 0.566965 0.231058 1.52588e-05 0.0145728
294 0.567777 0.231162 1.52588e-05 0.0145728
295 0.568591 0.231245 1.52588e-05 0.0145728
296 0.5694 0.231342 1.52588e-05 0.0145728
297 0.570204 0.231445 1.52588e-05 0.0145728
298 0.571014 0.231533 1.52588e-05 0.0145728
299 0.571822 0.231617 1.52588e-05 0.0147068
300 0.572618 0.231726 1.52588e-05 0.0147068
301 0.573427 0.231791 1.52588e-05 0.0147068
302 0.574225 0.231895 1.52588e-05 0.0147068
303 0.575029 0.231969 1.52588e-05 0.0147068
304 0.575822 0.232061 1.52588e-05 0.0147068
305 0.576617 0.232146 1.52588e-05 0.0147068
306 0.577413 0.232225 1.52588e-05 0.0147068
307 0.578206 0.23231 1.52588e-05 0.0147068
308 0.578995 0.232397 1.52588e-05 0.0147068
309 0.579783 0.232474 1.52588e-05 0.0148014
310 0.580571 0.232558 1.52588e-05 0.0148014
311 0.581359 0.23263 1.52588e-05 0.0148014
312 0.582143 0.232706 1.52588e-05 0.0148014
313 0.582929 0.232774 1.52588e-05 0.0148014
314 0.583711 0.232853 1.52588e-05 0.0148014
315 0.584491 0.232923 1.52588e-05 0.0148014
316 0.585265 0.233008 1.52588e-05 0.0148014
317 0.586038 0.233089 1.52588e-05 0.0148014
318 0.586815 0.233155 1.52588e-05 0.0148014
319 0.587587 0.233223 1.52588e-05 0.0148495
320 0.58836 0.233292 1.52588e-05 0.0148495
321 0.589128 0.23336 1.52588e-05 0.0148495
322 0.589895 0.233429 1.52588e-05 0.0148495
323 0.590663 0.233495 1.52588e-05 0.0148495
324 0.591432 0.23355 1.52588e-05 0.0148495
325 0.592195 0.233617 1.52588e-05 0.0148495
326 0.592954 0.233684 1.52588e-05 0.0148495
327 0.593713 0.233752 1.52588e-05 0.0148495
328 0.594474 0.233802 1.52588e-05 0.0148495
329 0.59523 0.233861 1.52588e-05 0.0148449
330 0.59599 0.233912 1.52588e-05 0.0148449
331 0.596739 0.23398 1.52588e-05 0.0148449
