step,time,R_avg,R_std,norm,energy,max_density
2110,21.1,0.968192,0.117701,0.999464,2.99157,0.00286938
2120,21.2,0.968203,0.117839,0.99946,2.99219,0.0028429
2130,21.3,0.968041,0.118199,0.999457,2.9916,0.00282708
2140,21.4,0.968029,0.118035,0.999453,2.99158,0.00280779
2150,21.5,0.968178,0.117724,0.999451,2.99116,0.00294546
2160,21.6,0.968022,0.118273,0.999449,2.99131,0.00309643
2170,21.7,0.96815,0.117855,0.999447,2.99153,0.00322207
2180,21.8,0.968066,0.118038,0.999443,2.9918,0.00329651
2190,21.9,0.968142,0.117866,0.999442,2.99182,0.00330287
2200,22,0.968107,0.117937,0.999438,2.99163,0.00324006
2210,22.1,0.968208,0.11762,0.999436,2.99235,0.0031223
2220,22.2,0.968153,0.117835,0.999433,2.9922,0.00297246
2230,22.3,0.968178,0.117679,0.99943,2.99245,0.00282065
2240,22.4,0.968172,0.117802,0.99943,2.99321,0.0026976
2250,22.5,0.968229,0.117721,0.999427,2.99338,0.00266135
2260,22.6,0.968111,0.118057,0.999423,2.99354,0.00264441
2270,22.7,0.96824,0.117572,0.999423,2.9938,0.00265486
2280,22.8,0.968141,0.117923,0.999419,2.99367,0.00274221
2290,22.9,0.968002,0.118274,0.999415,2.99373,0.00284924
2300,23,0.968047,0.118274,0.999414,2.99456,0.00295085
2310,23.1,0.96819,0.117878,0.999412,2.99451,0.00302119
2320,23.2,0.968164,0.11785,0.999409,2.99472,0.00304339
2330,23.3,0.968037,0.118152,0.999405,2.99455,0.00301017
2340,23.4,0.968166,0.117819,0.999403,2.99497,0.00292815
2350,23.5,0.968214,0.11778,0.9994,2.9951,0.00281283
2360,23.6,0.968167,0.117642,0.999397,2.99492,0.00268851
2370,23.7,0.968207,0.117654,0.999394,2.99541,0.00258106
2380,23.8,0.968138,0.117822,0.999393,2.9952,0.00253552
2390,23.9,0.968057,0.118102,0.99939,2.9955,0.00252949
2400,24,0.968195,0.117744,0.999386,2.99607,0.00253427
2410,24.1,0.968181,0.117635,0.999386,2.99592,0.00261649
2420,24.2,0.968085,0.117996,0.999382,2.996,0.00271987
2430,24.3,0.968175,0.117859,0.999379,2.99612,0.00281601
2440,24.4,0.968264,0.11749,0.999377,2.99665,0.00288287
2450,24.5,0.968168,0.11783,0.999372,2.99618,0.0029051
2460,24.6,0.96824,0.117661,0.999372,2.99675,0.00287448
2470,24.7,0.968224,0.11774,0.999369,2.99649,0.00279582
2480,24.8,0.96814,0.11782,0.999367,2.99622,0.00268186
2490,24.9,0.968145,0.118074,0.999363,2.99707,0.00255516
2500,25,0.968033,0.118146,0.999364,2.99612,0.00243897
2510,25.1,0.968104,0.117957,0.999358,2.9966,0.00239817
2520,25.2,0.96818,0.117832,0.999355,2.99679,0.00239146
2530,25.3,0.9681,0.118045,0.999353,2.99668,0.00237154
2540,25.4,0.96815,0.11784,0.999351,2.99627,0.00242436
2550,25.5,0.968183,0.1178,0.999348,2.99649,0.00253294
2560,25.6,0.967999,0.118183,0.999346,2.99654,0.00265199
2570,25.7,0.968245,0.117639,0.999343,2.99651,0.00275511
2580,25.8,0.96814,0.117847,0.999341,2.99636,0.00281905
2590,25.9,0.968131,0.117895,0.999336,2.99665,0.00282954
2600,26,0.968201,0.117724,0.999336,2.9963,0.00278174
2610,26.1,0.968031,0.11823,0.999334,2.99633,0.00268438
2620,26.2,0.968146,0.11781,0.999331,2.99662,0.00255483
2630,26.3,0.968205,0.117571,0.999328,2.99677,0.00241677
2640,26.4,0.968149,0.117811,0.999327,2.99657,0.00229621
2650,26.5,0.96814,0.117811,0.999324,2.99641,0.00227274
2660,26.6,0.968217,0.117747,0.999321,2.99647,0.00226977
2670,26.7,0.96814,0.117897,0.999317,2.99667,0.00225822
2680,26.8,0.968201,0.117688,0.999314,2.99554,0.00229518
2690,26.9,0.968218,0.117798,0.999311,2.99543,0.00239986
2700,27,0.968132,0.117953,0.99931,2.99467,0.00250905
2710,27.1,0.968215,0.117597,0.999306,2.99387,0.00259738
2720,27.2,0.968137,0.117913,0.999304,2.99271,0.00264627
2730,27.3,0.968145,0.117887,0.999303,2.99142,0.00264428
2740,27.4,0.968112,0.118094,0.999301,2.99046,0.00258996
2750,27.5,0.968167,0.117745,0.999295,2.98906,0.00249501
2760,27.6,0.9682,0.117676,0.999293,2.98816,0.00237975
2770,27.7,0.96814,0.11782,0.99929,2.98638,0.0022668
2780,27.8,0.968157,0.118044,0.999287,2.98501,0.00226074
2790,27.9,0.968197,0.117662,0.999286,2.98326,0.00223764
2800,28,0.968194,0.117856,0.999285,2.98124,0.00221602
2810,28.1,0.968226,0.117667,0.999282,2.97952,0.00221643
2820,28.2,0.968026,0.1182,0.999278,2.9771,0.00225996
2830,28.3,0.968144,0.117899,0.999275,2.97473,0.00234313
2840,28.4,0.968231,0.117676,0.999273,2.97237,0.00242919
2850,28.5,0.968038,0.118218,0.999271,2.96925,0.00248671
2860,28.6,0.96806,0.118076,0.999268,2.96596,0.00250191
2870,28.7,0.968229,0.117645,0.999264,2.96276,0.00246897
2880,28.8,0.968143,0.117821,0.999262,2.95867,0.00239385
2890,28.9,0.968171,0.117833,0.999261,2.95463,0.00229087
2900,29,0.968214,0.117642,0.999256,2.94953,0.00219781
2910,29.1,0.968198,0.117793,0.999253,2.94434,0.00214653
2920,29.2,0.968132,0.117809,0.999252,2.93826,0.00213478
2930,29.3,0.968171,0.117786,0.99925,2.93166,0.00210638
2940,29.4,0.968143,0.117896,0.999244,2.92425,0.00214881
2950,29.5,0.96817,0.117769,0.999244,2.91646,0.00220258
2960,29.6,0.968017,0.118231,0.999241,2.90768,0.00224455
2970,29.7,0.968236,0.117599,0.999238,2.89968,0.00227143
2980,29.8,0.968061,0.118115,0.999239,2.88869,0.00234029
2990,29.9,0.968046,0.118023,0.999234,2.87876,0.00237415
3000,30,0.968221,0.117599,0.999231,2.86838,0.0024159
3010,30.1,0.968204,0.117763,0.999228,2.85767,0.00247665
3020,30.2,0.968199,0.117683,0.999227,2.84644,0.00251339
3030,30.3,0.968234,0.117666,0.999224,2.83546,0.00252307
3040,30.4,0.967998,0.118308,0.999221,2.82341,0.00250423
3050,30.5,0.968126,0.117875,0.99922,2.81302,0.00245784
3060,30.6,0.968179,0.117715,0.999216,2.80276,0.00238617
3070,30.7,0.968223,0.117703,0.999211,2.79305,0.00231298
3080,30.8,0.968188,0.117636,0.999212,2.78394,0.00229004
3090,30.9,0.968168,0.117904,0.99921,2.77485,0.00225456
3100,31,0.968192,0.117697,0.999207,2.7673,0.00220031
3110,31.1,0.968127,0.117918,0.999205,2.76039,0.00217548
3120,31.2,0.968243,0.117447,0.999202,2.75548,0.0022384
3130,31.3,0.968151,0.117786,0.9992,2.75022,0.00226114
3140,31.4,0.967989,0.118171,0.999197,2.74668,0.00223706
3150,31.5,0.968313,0.117385,0.999193,2.74536,0.00216813
3160,31.6,0.968137,0.117798,0.999192,2.74388,0.00206827
3170,31.7,0.968185,0.117717,0.999189,2.74402,0.00202241
3180,31.8,0.968167,0.117847,0.999188,2.74511,0.00205444
3190,31.9,0.968218,0.117591,0.999185,2.74756,0.00207928
3200,32,0.968238,0.117559,0.999183,2.75044,0.00209607
3210,32.1,0.968183,0.117814,0.999179,2.75352,0.00212676
3220,32.2,0.968197,0.117726,0.999177,2.75841,0.00215358
3230,32.3,0.968164,0.117829,0.999175,2.76365,0.00217211
3240,32.4,0.968223,0.117739,0.999171,2.76924,0.00218223
3250,32.5,0.968196,0.117558,0.999167,2.77534,0.00219463
3260,32.6,0.968116,0.117892,0.999167,2.78131,0.00221011
3270,32.7,0.968122,0.117931,0.999164,2.78766,0.00221814
3280,32.8,0.968168,0.11774,0.99916,2.795,0.00222236
3290,32.9,0.968108,0.11794,0.99916,2.80134,0.00223615
3300,33,0.968247,0.117708,0.999157,2.80828,0.0022419
3310,33.1,0.96821,0.11771,0.999155,2.8149,0.00224073
3320,33.2,0.968088,0.117797,0.99915,2.82156,0.00225132
3330,33.3,0.968239,0.117678,0.99915,2.82807,0.00225276
3340,33.4,0.968201,0.117639,0.999145,2.83409,0.00224404
3350,33.5,0.968225,0.117755,0.999144,2.84013,0.0022385
3360,33.6,0.968154,0.117716,0.999141,2.84533,0.00225051
3370,33.7,0.968192,0.117653,0.999139,2.85073,0.00224863
3380,33.8,0.968187,0.117709,0.999135,2.85529,0.00225755
3390,33.9,0.968175,0.117847,0.999133,2.85928,0.00228799
3400,34,0.96822,0.117715,0.99913,2.86365,0.00230433
3410,34.1,0.968287,0.11753,0.999126,2.86776,0.00231438
3420,34.2,0.968135,0.11784,0.999126,2.87105,0.00236751
3430,34.3,0.9683,0.117474,0.999123,2.87445,0.0024091
3440,34.4,0.968282,0.117509,0.999119,2.87707,0.00243726
3450,34.5,0.968177,0.117801,0.999115,2.87936,0.00245095
3460,34.6,0.968195,0.117672,0.999115,2.88233,0.00245011
